RU;IT;Tense;Rank;Noun;Gender;Verb;Person;Type;Model
мы пошли (andare) в центральную (centrale) больницу (ospedale).;Noi siamo andati all'ospedale centrale.;Passato Prossimo;642;ospedale;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl
это сложная (difficile) ситуация (situazione).;Questa è una situazione difficile.;Presente;651;situazione;f;;;noun;gemma-4-26b-a4b-it@q4_k_xl
он совершал серию убийств (commettere, serie, omicidio).;Lui commetteva una serie di omicidi.;Imperfetto;652;omicidio;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
полиция расследовала убийство (indagare, omicidio).;La polizia ha indagato su un omicidio.;Passato Prossimo;652;omicidio;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
это красивая страна (bello, paese).;Questo è un bel paese.;Presente;666;paese;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl
я слушаю (ascoltare) хорошую (buona) музыку.;Io ascolto buona musica.;Presente;673;musica;f;;;noun;gemma-4-26b-a4b-it@q4_k_xl
он слушал (ascoltare) классическую (classica) музыку.;Lui ascoltava la musica classica.;Imperfetto;673;musica;f;;;noun;gemma-4-26b-a4b-it@q4_k_xl
мы слушали (ascoltare) поп-музыку (musica pop).;Noi abbiamo ascoltato la musica pop.;Passato Prossimo;673;musica;f;;;noun;gemma-4-26b-a4b-it@q4_k_xl
я читаю (leggere) интересную (interessante) книгу (libro).;Io leggo un libro interessante.;Presente;677;libro;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
ты купил книги.;Tu hai comprato dei libri.;Passato Prossimo;677;libro;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
мы стали знаменитыми (diventare famosi);Noi siamo diventati famosi.;Passato Prossimo;680;;;diventare;noi;verb;gemma-4-26b-a4b-it@q4_k_xl:2
они ошиблись в адресе (sbagliare indirizzo);Loro hanno sbagliato l'indirizzo.;Passato Prossimo;682;;;sbagliare;loro;verb;gemma-4-26b-a4b-it@q4_k_xl:2
они нашли виновного (scoprire il colpevole);Loro hanno scoperto il colpevole.;Passato Prossimo;695;;;scoprire;loro;verb;gemma-4-26b-a4b-it@q4_k_xl:2
она была в ужасной тюрьме (essere, terribile, prigione).;Lei era in una prigione terribile.;Imperfetto;700;prigione;f;;;noun;gemma-4-26b-a4b-it@q4_k_xl
он — хороший (bravo) адвокат (avvocato).;Lui è un bravo avvocato.;Presente;709;avvocato;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
он отправлял (inviare) сообщения (messaggio).;Lui inviava dei messaggi.;Imperfetto;712;messaggio;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl
я смотрю на голубое небо (guardare, azzurro).;Io guardo il cielo azzurro.;Presente;718;cielo;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
было ясное небо (essere, sereno).;Il cielo era sereno.;Imperfetto;718;cielo;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
он видел облачное небо (vedere, nuvoloso).;Lui ha visto il cielo nuvoloso.;Passato Prossimo;718;cielo;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
мы искали отдельный санузел.;Noi cercavamo un bagno privato.;Imperfetto;720;bagno;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl
он использовал общественный туалет.;Lui ha usato un bagno pubblico.;Passato Prossimo;720;bagno;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl
я выхожу подышать свежим воздухом.;Io esco a prendere un po' d'aria fresca.;Presente;721;aria;f;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
он включал (accendere) кондиционер (aria condizionata).;Lui accendeva l'aria condizionata.;Imperfetto;721;aria;f;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
мы нашли чистый воздух.;Noi abbiamo trovato aria pulita.;Passato Prossimo;721;aria;f;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
он говорит (parlare) тихим (basso) голосом (voce).;Lui parla a bassa voce.;Presente;722;voce;f;;;noun;gemma-4-26b-a4b-it@q4_k_xl
ты слышал (sentire) голоса (voce).;Tu sentivi delle voci.;Imperfetto;722;voce;f;;;noun;gemma-4-26b-a4b-it@q4_k_xl
я гуляю с собакой (portare a spasso, cane).;Io porto a spasso il cane.;Presente;730;cane;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
он был верным псом (fedele, cane).;Lui era un cane fedele.;Imperfetto;730;cane;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
мы выгуляли собак (portare, cani).;Noi abbiamo portato a spasso i cani.;Passato Prossimo;730;cane;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
он видит (vedere) открытое (aperto) поле (campo).;Lui vede un campo aperto.;Presente;734;campo;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl
мы включили (accendere) огни (luci).;Noi abbiamo acceso le luci.;Passato Prossimo;735;luce;f;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
это большая (grande) группа (gruppo).;Questo è un grande gruppo.;Presente;745;gruppo;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl
мы были маленькой (piccolo) группой (gruppo).;Noi eravamo un piccolo gruppo.;Imperfetto;745;gruppo;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl
они создали музыкальную (musicale) группу (gruppo).;Loro hanno formato un gruppo musicale.;Passato Prossimo;745;gruppo;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl
ты увидел внезапное прибытие поезда.;Tu hai visto un arrivo improvviso del treno.;Passato Prossimo;747;arrivo;m;;;noun;gemma-4-26b-a4b-it@q4_k_xl:2
он видит виртуальную реальность (vedere, realtà virtuale).;Lui vede la realtà virtuale.;Presente;749;realtà;f;;;noun;gemma-4-26b-a4b-it@q4_k_xl
ты встретил суровую реальность (incontrare, cruda, realtà).;Tu hai incontrato la cruda realtà.;Passato Prossimo;749;realtà;f;;;noun;gemma-4-26b-a4b-it@q4_k_xl
я жил в маленьком городе.;Io vivevo nel piccolo paese.;Imperfetto;500;paese;m;;;noun;enriched
ключ лежит на столе.;La chiave è sul tavolo.;Presente;500;tavolo;m;;;noun;enriched
