Verb Conjugation Drill Italian
RU;IT;Verb;Tense;Group;Rank
он хочет, чтобы это значило мало (significare poco);Lui vuole che io significhi poco.;significare;Congiuntivo Presente;regular_care_gare;433
она думает, что это значит мало (significare poco);Lei pensa che tu significhi poco.;significare;Congiuntivo Presente;regular_care_gare;433
я верю, что это значит мало (significare poco);Io credo che lui significhi poco.;significare;Congiuntivo Presente;regular_care_gare;433
мы боимся, что это значит мало (significare poco);Noi temiamo che lei significhi poco.;significare;Congiuntivo Presente;regular_care_gare;433
вы надеетесь, что это значит мало (significare poco);Voi sperate che noi significhiamo poco.;significare;Congiuntivo Presente;regular_care_gare;433
они думают, что это значит мало (significare poco);Loro pensano che voi significhiate poco.;significare;Congiuntivo Presente;regular_care_gare;433
я верю, что это значит мало (significare poco);Io credo che loro significhino poco.;significare;Congiuntivo Presente;regular_care_gare;433
он думал, что это значило мало (significare poco);Lui pensavo che io significassi poco.;significare;Congiuntivo Imperfetto;regular_care_gare;433
она хотела, чтобы это значило мало (significare poco);Lei voleva che tu significassi poco.;significare;Congiuntivo Imperfetto;regular_care_gare;433
я думал, что это значило мало (significare poco);Io pensavo che lui significasse poco.;significare;Congiuntivo Imperfetto;regular_care_gare;433
мы верили, что это значило мало (significare poco);Noi credevamo che lei significasse poco.;significare;Congiuntivo Imperfetto;regular_care_gare;433
они надеялись, что это значило мало (significare poco);Loro speravano che noi significassimo poco.;significare;Congiuntivo Imperfetto;regular_care_gare;433
он боялся, что это значило мало (significare poco);Lui temeva che voi significaste poco.;significare;Congiuntivo Imperfetto;regular_care_gare;433
я верил, что это значило мало (significare poco);Io credevo che loro significassero poco.;significare;Congiuntivo Imperfetto;regular_care_gare;433
он думает, что это мало значило (significare poco);Lui pensa che io abbia significato poco.;significare;Congiuntivo Passato;regular_care_gare;433
она верит, что это мало значило (significare poco);Lei crede che tu abbia significato poco.;significare;Congiuntivo Passato;regular_care_gare;433
я думаю, что это мало значило (significare poco);Io penso che lui abbia significato poco.;significare;Congiuntivo Passato;regular_care_gare;433
мы надеемся, что это мало значило (significare poco);Noi speriamo che lei abbia significato poco.;significare;Congiuntivo Passato;regular_care_gare;433
ты сомневаешься, что это мало значило (significare poco);Tu dubiti che noi abbiamo significato poco.;significare;Congiuntivo Passato;regular_care_gare;433
он предполагает, что это мало значило (significare poco);Lui suppone che voi abbiate significato poco.;significare;Congiuntivo Passato;regular_care_gare;433
я верю, что это мало значило (significare poco);Io credo che loro abbiano significato poco.;significare;Congiuntivo Passato;regular_care_gare;433
я много значу (significare molto);Io significo molto.;significare;Presente;regular_care_gare;433
ты много значишь (significare molto);Tu significhi molto.;significare;Presente;regular_care_gare;433
он много значит (significare molto);Lui significa molto.;significare;Presente;regular_care_gare;433
она много значит (significare molto);Lei significa molto.;significare;Presente;regular_care_gare;433
мы много значим (significare molto);Noi significhiamo molto.;significare;Presente;regular_care_gare;433
вы много значите (significare molto);Voi significate molto.;significare;Presente;regular_care_gare;433
они много значат (significare molto);Loro significano molto.;significare;Presente;regular_care_gare;433
я значил много (significare molto);Io significavo molto.;significare;Imperfetto;regular_care_gare;433
ты значил много (significare molto);Tu significavi molto.;significare;Imperfetto;regular_care_gare;433
он значил много (significare molto);Lui significava molto.;significare;Imperfetto;regular_care_gare;433
она значила много (significare molto);Lei significava molto.;significare;Imperfetto;regular_care_gare;433
мы значили много (significare molto);Noi significavamo molto.;significare;Imperfetto;regular_care_gare;433
вы значили много (significare molto);Voi significavate molto.;significare;Imperfetto;regular_care_gare;433
они значили много (significare molto);Loro significavano molto.;significare;Imperfetto;regular_care_gare;433
я значил много (significare molto);Io significai molto.;significare;Passato Remoto;regular_care_gare;433
ты значил много (significare molto);Tu significasti molto.;significare;Passato Remoto;regular_care_gare;433
он значил много (significare molto);Lui significò molto.;significare;Passato Remoto;regular_care_gare;433
она значила много (significare molto);Lei significò molto.;significare;Passato Remoto;regular_care_gare;433
мы значили много (significare molto);Noi significammo molto.;significare;Passato Remoto;regular_care_gare;433
вы значили много (significare molto);Voi significaste molto.;significare;Passato Remoto;regular_care_gare;433
они значили много (significare molto);Loro significarono molto.;significare;Passato Remoto;regular_care_gare;433
я много значил (significare molto);Io ho significato molto.;significare;Passato Prossimo;regular_care_gare;433
ты много значил (significare molto);Tu hai significato molto.;significare;Passato Prossimo;regular_care_gare;433
он много значил (significare molto);Lui ha significato molto.;significare;Passato Prossimo;regular_care_gare;433
она много значила (significare molto);Lei ha significato molto.;significare;Passato Prossimo;regular_care_gare;433
мы много значили (significare molto);Noi abbiamo significato molto.;significare;Passato Prossimo;regular_care_gare;433
вы много значили (significare molto);Voi avete significato molto.;significare;Passato Prossimo;regular_care_gare;433
они много значили (significare molto);Loro hanno significato molto.;significare;Passato Prossimo;regular_care_gare;433
я уже много значил (significare molto);Io avevo significato molto.;significare;Trapassato Prossimo;regular_care_gare;433
ты уже много значил (significare molto);Tu avevi significato molto.;significare;Trapassato Prossimo;regular_care_gare;433
он уже много значил (significare molto);Lui aveva significato molto.;significare;Trapassato Prossimo;regular_care_gare;433
она уже много значила (significare molto);Lei aveva significato molto.;significare;Trapassato Prossimo;regular_care_gare;433
мы уже много значили (significare molto);Noi avevamo significato molto.;significare;Trapassato Prossimo;regular_care_gare;433
вы уже много значили (significare molto);Voi avevate significato molto.;significare;Trapassato Prossimo;regular_care_gare;433
они уже много значили (significare molto);Loro avevano significato molto.;significare;Trapassato Prossimo;regular_care_gare;433
я буду много значить (significare molto);Io significherò molto.;significare;Futuro Semplice;regular_care_gare;433
ты будешь много значить (significare molto);Tu significherai molto.;significare;Futuro Semplice;regular_care_gare;433
он будет много значить (significare molto);Lui significherà molto.;significare;Futuro Semplice;regular_care_gare;433
она будет много значить (significare molto);Lei significherà molto.;significare;Futuro Semplice;regular_care_gare;433
мы будем много значить (significare molto);Noi significheremo molto.;significare;Futuro Semplice;regular_care_gare;433
вы будете много значить (significare molto);Voi significherete molto.;significare;Futuro Semplice;regular_care_gare;433
они будут много значить (significare molto);Loro significheranno molto.;significare;Futuro Semplice;regular_care_gare;433
к тому времени мои слова уже будут много значить (significare molto);Io avrò significato molto.;significare;Futuro Anteriore;regular_care_gare;433
к тому времени твои слова уже будут много значить (significare molto);Tu avrai significato molto.;significare;Futuro Anteriore;regular_care_gare;433
к тому времени его слова уже будут много значить (significare molto);Lui avrà significato molto.;significare;Futuro Anteriore;regular_care_gare;433
к тому времени ее слова уже будут много значить (significare molto);Lei avrà significato molto.;significare;Futuro Anteriore;regular_care_gare;433
к тому времени наши слова уже будут много значить (significare molto);Noi avremo significato molto.;significare;Futuro Anteriore;regular_care_gare;433
к тому времени ваши слова уже будут много значить (significare molto);Voi avrete significato molto.;significare;Futuro Anteriore;regular_care_gare;433
к тому времени их слова уже будут много значить (significare molto);Loro avranno significato molto.;significare;Futuro Anteriore;regular_care_gare;433
я бы значил много (significare molto);Io significherei molto.;significare;Condizionale Presente;regular_care_gare;433
ты бы значил много (significare molto);Tu significheresti molto.;significare;Condizionale Presente;regular_care_gare;433
он бы значил много (significare molto);Lui significherebbe molto.;significare;Condizionale Presente;regular_care_gare;433
она бы значила много (significare molto);Lei significherebbe molto.;significare;Condizionale Presente;regular_care_gare;433
мы бы значили много (significare molto);Noi significheremmo molto.;significare;Condizionale Presente;regular_care_gare;433
вы бы значили много (significare molto);Voi significhereste molto.;significare;Condizionale Presente;regular_care_gare;433
они бы значили много (significare molto);Loro significherebbero molto.;significare;Condizionale Presente;regular_care_gare;433
я бы значил много (significare molto);Io avrei significato molto.;significare;Condizionale Passato;regular_care_gare;433
ты бы значил много (significare molto);Tu avresti significato molto.;significare;Condizionale Passato;regular_care_gare;433
он бы значил много (significare molto);Lui avrebbe significato molto.;significare;Condizionale Passato;regular_care_gare;433
она бы значила много (significare molto);Lei avrebbe significato molto.;significare;Condizionale Passato;regular_care_gare;433
мы бы значили много (significare molto);Noi avremmo significato molto.;significare;Condizionale Passato;regular_care_gare;433
вы бы значили много (significare molto);Voi avreste significato molto.;significare;Condizionale Passato;regular_care_gare;433
они бы значили много (significare molto);Loro avrebbero significato molto.;significare;Condizionale Passato;regular_care_gare;433
он хочет, чтобы это значило много (significare molto);Lui vuole che io significhi molto.;significare;Congiuntivo Presente;regular_care_gare;433
она думает, что это значит много (significare molto);Lei pensa che tu significhi molto.;significare;Congiuntivo Presente;regular_care_gare;433
я верю, что это значит много (significare molto);Io credo che lui significhi molto.;significare;Congiuntivo Presente;regular_care_gare;433
мы верим, что это значит много (significare molto);Noi crediamo che lei significhi molto.;significare;Congiuntivo Presente;regular_care_gare;433
вы думаете, что это значит много (significare molto);Voi pensate che noi significhiamo molto.;significare;Congiuntivo Presente;regular_care_gare;433
они верят, что это значит много (significare molto);Loro credono che voi significhiate molto.;significare;Congiuntivo Presente;regular_care_gare;433
я думаю, что это значит много (significare molto);Io penso che loro significhino molto.;significare;Congiuntivo Presente;regular_care_gare;433
он думал, что я это много значу (significare molto);Lui pensavo che io significassi molto.;significare;Congiuntivo Imperfetto;regular_care_gare;433
она хотела, чтобы ты это много значил (significare molto);Lei voleva che tu significassi molto.;significare;Congiuntivo Imperfetto;regular_care_gare;433
я думал, что он это много значит (significare molto);Io pensavo che lui significasse molto.;significare;Congiuntivo Imperfetto;regular_care_gare;433
мы верили, что она это много значит (significare molto);Noi credevamo che lei significasse molto.;significare;Congiuntivo Imperfetto;regular_care_gare;433
они надеялись, что мы это много значим (significare molto);Loro speravano che noi significassimo molto.;significare;Congiuntivo Imperfetto;regular_care_gare;433
он верил, что вы это много значите (significare molto);Lui credeva che voi significaste molto.;significare;Congiuntivo Imperfetto;regular_care_gare;433
я боялся, что они это много значат (significare molto);Io temevo che loro significassero molto.;significare;Congiuntivo Imperfetto;regular_care_gare;433
он думает, что это уже много значило (significare molto);Lui pensa che io abbia significato molto.;significare;Congiuntivo Passato;regular_care_gare;433
она верит, что это уже много значило (significare molto);Lei crede che tu abbia significato molto.;significare;Congiuntivo Passato;regular_care_gare;433
я думаю, что это уже много значило (significare molto);Io penso che lui abbia significato molto.;significare;Congiuntivo Passato;regular_care_gare;433
мы надеемся, что это уже много значило (significare molto);Noi speriamo che lei abbia significato molto.;significare;Congiuntivo Passato;regular_care_gare;433
ты сомневаешься, что это уже много значило (significare molto);Tu dubiti che noi abbiamo significato molto.;significare;Congiuntivo Passato;regular_care_gare;433
он предполагает, что это уже много значило (significare molto);Lui suppone che voi abbiate significato molto.;significare;Congiuntivo Passato;regular_care_gare;433
я верю, что это уже много значило (significare molto);Io credo che loro abbiano significato molto.;significare;Congiuntivo Passato;regular_care_gare;433
я импортирую предметы роскоши (importare beni di lusso);Io importo beni di lusso.;importare;Presente;regular_are;440
ты импортируешь предметы роскоши (importare beni di lusso);Tu importi beni di lusso.;importare;Presente;regular_are;440
он импортирует предметы роскоши (importare beni di lusso);Lui importa beni di lusso.;importare;Presente;regular_are;440
она импортирует предметы роскоши (importare beni di lusso);Lei importa beni di lusso.;importare;Presente;regular_are;440
мы импортируем предметы роскоши (importare beni di lusso);Noi importiamo beni di lusso.;importare;Presente;regular_are;440
вы импортируете предметы роскоши (importare beni di lusso);Voi importate beni di lusso.;importare;Presente;regular_are;440
они импортируют предметы роскоши (importare beni di lusso);Loro importano beni di lusso.;importare;Presente;regular_are;440
я импортировал предметы роскоши (importare beni di lusso);Io importavo beni di lusso.;importare;Imperfetto;regular_are;440
ты импортировал предметы роскоши (importare beni di lusso);Tu importavi beni di lusso.;importare;Imperfetto;regular_are;440
он импортировал предметы роскоши (importare beni di lusso);Lui importava beni di lusso.;importare;Imperfetto;regular_are;440
она импортировала предметы роскоши (importare beni di lusso);Lei importava beni di lusso.;importare;Imperfetto;regular_are;440
мы импортировали предметы роскоши (importare beni di lusso);Noi importavamo beni di lusso.;importare;Imperfetto;regular_are;440
вы импортировали предметы роскоши (importare beni di lusso);Voi importavate beni di lusso.;importare;Imperfetto;regular_are;440
они импортировали предметы роскоши (importare beni di lusso);Loro importavano beni di lusso.;importare;Imperfetto;regular_are;440
я импортировал предметы роскоши (importare beni di lusso);Io importai beni di lusso.;importare;Passato Remoto;regular_are;440
ты импортировал предметы роскоши (importare beni di lusso);Tu importasti beni di lusso.;importare;Passato Remoto;regular_are;440
он импортировал предметы роскоши (importare beni di lusso);Lui importò beni di lusso.;importare;Passato Remoto;regular_are;440
она импортировала предметы роскоши (importare beni di lusso);Lei importò beni di lusso.;importare;Passato Remoto;regular_are;440
мы импортировали предметы роскоши (importare beni di lusso);Noi importammo beni di lusso.;importare;Passato Remoto;regular_are;440
вы импортировали предметы роскоши (importare beni di lusso);Voi importaste beni di lusso.;importare;Passato Remoto;regular_are;440
они импортировали предметы роскоши (importare beni di lusso);Loro importarono beni di lusso.;importare;Passato Remoto;regular_are;440
я импортировал предметы роскоши (importare beni di lusso);Io ho importato beni di lusso.;importare;Passato Prossimo;regular_are;440
ты импортировал предметы роскоши (importare beni di lusso);Tu hai importato beni di lusso.;importare;Passato Prossimo;regular_are;440
он импортировал предметы роскоши (importare beni di lusso);Lui ha importato beni di lusso.;importare;Passato Prossimo;regular_are;440
она импортировала предметы роскоши (importare beni di lusso);Lei ha importato beni di lusso.;importare;Passato Prossimo;regular_are;440
мы импортировали предметы роскоши (importare beni di lusso);Noi abbiamo importato beni di lusso.;importare;Passato Prossimo;regular_are;440
вы импортировали предметы роскоши (importare beni di lusso);Voi avete importato beni di lusso.;importare;Passato Prossimo;regular_are;440
они импортировали предметы роскоши (importare beni di lusso);Loro hanno importato beni di lusso.;importare;Passato Prossimo;regular_are;440
я уже импортировал предметы роскоши (importare beni di lusso);Io avevo importato beni di lusso.;importare;Trapassato Prossimo;regular_are;440
ты уже импортировал предметы роскоши (importare beni di lusso);Tu avevi importato beni di lusso.;importare;Trapassato Prossimo;regular_are;440
он уже импортировал предметы роскоши (importare beni di lusso);Lui aveva importato beni di lusso.;importare;Trapassato Prossimo;regular_are;440
она уже импортировала предметы роскоши (importare beni di lusso);Lei aveva importato beni di lusso.;importare;Trapassato Prossimo;regular_are;440
мы уже импортировали предметы роскоши (importare beni di lusso);Noi avevamo importato beni di lusso.;importare;Trapassato Prossimo;regular_are;440
вы уже импортировали предметы роскоши (importare beni di lusso);Voi avevate importato beni di lusso.;importare;Trapassato Prossimo;regular_are;440
они уже импортировали предметы роскоши (importare beni di lusso);Loro avevano importato beni di lusso.;importare;Trapassato Prossimo;regular_are;440
я буду импортировать предметы роскоши (importare beni di lusso);Io importerò beni di lusso.;importare;Futuro Semplice;regular_are;440
ты будешь импортировать предметы роскоши (importare beni di lusso);Tu importerai beni di lusso.;importare;Futuro Semplice;regular_are;440
он будет импортировать предметы роскоши (importare beni di lusso);Lui importerà beni di lusso.;importare;Futuro Semplice;regular_are;440
она будет импортировать предметы роскоши (importare beni di lusso);Lei importerà beni di lusso.;importare;Futuro Semplice;regular_are;440
мы будем импортировать предметы роскоши (importare beni di lusso);Noi importeremo beni di lusso.;importare;Futuro Semplice;regular_are;440
вы будете импортировать предметы роскоши (importare beni di lusso);Voi importerete beni di lusso.;importare;Futuro Semplice;regular_are;440
они будут импортировать предметы роскоши (importare beni di lusso);Loro importeranno beni di lusso.;importare;Futuro Semplice;regular_are;440
я успею импортировать предметы роскоши (importare beni di lusso);Io avrò importato beni di lusso.;importare;Futuro Anteriore;regular_are;440
ты успеешь импортировать предметы роскоши (importare beni di lusso);Tu avrai importato beni di lusso.;importare;Futuro Anteriore;regular_are;440
он успеет импортировать предметы роскоши (importare beni di lusso);Lui avrà importato beni di lusso.;importare;Futuro Anteriore;regular_are;440
она успеет импортировать предметы роскоши (importare beni di lusso);Lei avrà importato beni di lusso.;importare;Futuro Anteriore;regular_are;440
мы успеем импортировать предметы роскоши (importare beni di lusso);Noi avremo importato beni di lusso.;importare;Futuro Anteriore;regular_are;440
вы успеете импортировать предметы роскоши (importare beni di lusso);Voi avrete importato beni di lusso.;importare;Futuro Anteriore;regular_are;440
они успеют импортировать предметы роскоши (importare beni di lusso);Loro avranno importato beni di lusso.;importare;Futuro Anteriore;regular_are;440
я бы импортировал предметы роскоши (importare beni di lusso);Io importerei beni di lusso.;importare;Condizionale Presente;regular_are;440
ты бы импортировал предметы роскоши (importare beni di lusso);Tu importeresti beni di lusso.;importare;Condizionale Presente;regular_are;440
он бы импортировал предметы роскоши (importare beni di lusso);Lui importerebbe beni di lusso.;importare;Condizionale Presente;regular_are;440
она бы импортировала предметы роскоши (importare beni di lusso);Lei importerebbe beni di lusso.;importare;Condizionale Presente;regular_are;440
мы бы импортировали предметы роскоши (importare beni di lusso);Noi importeremmo beni di lusso.;importare;Condizionale Presente;regular_are;440
вы бы импортировали предметы роскоши (importare beni di lusso);Voi importereste beni di lusso.;importare;Condizionale Presente;regular_are;440
они бы импортировали предметы роскоши (importare beni di lusso);Loro importerebbero beni di lusso.;importare;Condizionale Presente;regular_are;440
я бы импортировал предметы роскоши (importare beni di lusso);Io avrei importato beni di lusso.;importare;Condizionale Passato;regular_are;440
ты бы импортировал предметы роскоши (importare beni di lusso);Tu avresti importato beni di lusso.;importare;Condizionale Passato;regular_are;440
он бы импортировал предметы роскоши (importare beni di lusso);Lui avrebbe importato beni di lusso.;importare;Condizionale Passato;regular_are;440
она бы импортировала предметы роскоши (importare beni di lusso);Lei avrebbe importato beni di lusso.;importare;Condizionale Passato;regular_are;440
мы бы импортировали предметы роскоши (importare beni di lusso);Noi avremmo importato beni di lusso.;importare;Condizionale Passato;regular_are;440
вы бы импортировали предметы роскоши (importare beni di lusso);Voi avreste importato beni di lusso.;importare;Condizionale Passato;regular_are;440
они бы импортировали предметы роскоши (importare beni di lusso);Loro avrebbero importato beni di lusso.;importare;Condizionale Passato;regular_are;440
он хочет, чтобы я импортировал предметы роскоши (importare beni di lusso);Lui vuole che io importi beni di lusso.;importare;Congiuntivo Presente;regular_are;440
она хочет, чтобы ты импортировал предметы роскоши (importare beni di lusso);Lei vuole che tu importi beni di lusso.;importare;Congiuntivo Presente;regular_are;440
я думаю, что он импортирует предметы роскоши (importare beni di lusso);Io penso che lui importi beni di lusso.;importare;Congiuntivo Presente;regular_are;440
я думаю, что она импортирует предметы роскоши (importare beni di lusso);Io penso che lei importi beni di lusso.;importare;Congiuntivo Presente;regular_are;440
он надеется, что мы импортируем предметы роскоши (importare beni di lusso);Lui spera che noi importiamo beni di lusso.;importare;Congiuntivo Presente;regular_are;440
я верю, что вы импортируете предметы роскоши (importare beni di lusso);Io credo che voi importiate beni di lusso.;importare;Congiuntivo Presente;regular_are;440
она думает, что они импортируют предметы роскоши (importare beni di lusso);Lei pensa che loro importino beni di lusso.;importare;Congiuntivo Presente;regular_are;440
он хотел, чтобы я импортировал предметы роскоши (importare beni di lusso);Lui voleva che io importassi beni di lusso.;importare;Congiuntivo Imperfetto;regular_are;440
она хотела, чтобы ты импортировал предметы роскоши (importare beni di lusso);Lei voleva che tu importassi beni di lusso.;importare;Congiuntivo Imperfetto;regular_are;440
я думал, что он будет импортировать предметы роскоши (importare beni di lusso);Io pensavo che lui importasse beni di lusso.;importare;Congiuntivo Imperfetto;regular_are;440
мы верили, что она будет импортировать предметы роскоши (importare beni di lusso);Noi credevamo che lei importasse beni di lusso.;importare;Congiuntivo Imperfetto;regular_are;440
они надеялись, что мы будем импортировать предметы роскоши (importare beni di lusso);Loro speravano che noi importassimo beni di lusso.;importare;Congiuntivo Imperfetto;regular_are;440
он хотел, чтобы вы импортировали предметы роскоши (importare beni di lusso);Lui voleva che voi importaste beni di lusso.;importare;Congiuntivo Imperfetto;regular_are;440
я боялся, что они будут импортировать предметы роскоши (importare beni di lusso);Io temevo che loro importassero beni di lusso.;importare;Congiuntivo Imperfetto;regular_are;440
он думает, что я уже импортировал предметы роскоши (importare beni di lusso);Lui pensa che io abbia importato beni di lusso.;importare;Congiuntivo Passato;regular_are;440
она надеется, что ты уже импортировал предметы роскоши (importare beni di lusso);Lei spera che tu abbia importato beni di lusso.;importare;Congiuntivo Passato;regular_are;440
я думаю, что он уже импортировал предметы роскоши (importare beni di lusso);Io penso che lui abbia importato beni di lusso.;importare;Congiuntivo Passato;regular_are;440
мы верим, что она уже импортировала предметы роскоши (importare beni di lusso);Noi crediamo che lei abbia importato beni di lusso.;importare;Congiuntivo Passato;regular_are;440
они сомневаются, что мы уже импортировали предметы роскоши (importare beni di lusso);Loro dubitano che noi abbiamo importato beni di lusso.;importare;Congiuntivo Passato;regular_are;440
я полагаю, что вы уже импортировали предметы роскоши (importare beni di lusso);Io suppongo che voi abbiate importato beni di lusso.;importare;Congiuntivo Passato;regular_are;440
он верит, что они уже импортировали предметы роскоши (importare beni di lusso);Lui crede che loro abbiano importato beni di lusso.;importare;Congiuntivo Passato;regular_are;440
я импортирую сырьё (materie prime);Io importo materie prime.;importare;Presente;regular_are;440
ты импортируешь сырьё (materie prime);Tu importi materie prime.;importare;Presente;regular_are;440
он импортирует сырьё (materie prime);Lui importa materie prime.;importare;Presente;regular_are;440
она импортирует сырьё (materie prime);Lei importa materie prime.;importare;Presente;regular_are;440
мы импортируем сырьё (materie prime);Noi importiamo materie prime.;importare;Presente;regular_are;440
вы импортируете сырьё (materie prime);Voi importate materie prime.;importare;Presente;regular_are;440
они импортируют сырьё (materie prime);Loro importano materie prime.;importare;Presente;regular_are;440
я импортировал сырье (importare materie prime);Io importavo materie prime.;importare;Imperfetto;regular_are;440
ты импортировал сырье (importare materie prime);Tu importavi materie prime.;importare;Imperfetto;regular_are;440
он импортировал сырье (importare materie prime);Lui importava materie prime.;importare;Imperfetto;regular_are;440
она импортировала сырье (importare materie prime);Lei importava materie prime.;importare;Imperfetto;regular_are;440
мы импортировали сырье (importare materie prime);Noi importavamo materie prime.;importare;Imperfetto;regular_are;440
вы импортировали сырье (importare materie prime);Voi importavate materie prime.;importare;Imperfetto;regular_are;440
они импортировали сырье (importare materie prime);Loro importavano materie prime.;importare;Imperfetto;regular_are;440
я импортировал сырьё (importare materie prime);Io importai materie prime.;importare;Passato Remoto;regular_are;440
ты импортировал сырьё (importare materie prime);Tu importasti materie prime.;importare;Passato Remoto;regular_are;440
он импортировал сырьё (importare materie prime);Lui importò materie prime.;importare;Passato Remoto;regular_are;440
она импортировала сырьё (importare materie prime);Lei importò materie prime.;importare;Passato Remoto;regular_are;440
мы импортировали сырьё (importare materie prime);Noi importammo materie prime.;importare;Passato Remoto;regular_are;440
вы импортировали сырьё (importare materie prime);Voi importaste materie prime.;importare;Passato Remoto;regular_are;440
они импортировали сырьё (importare materie prime);Loro importarono materie prime.;importare;Passato Remoto;regular_are;440
я импортировал сырьё (importare materie prime);Io ho importato materie prime.;importare;Passato Prossimo;regular_are;440
ты импортировал сырьё (importare materie prime);Tu hai importato materie prime.;importare;Passato Prossimo;regular_are;440
он импортировал сырьё (importare materie prime);Lui ha importato materie prime.;importare;Passato Prossimo;regular_are;440
она импортировала сырьё (importare materie prime);Lei ha importato materie prime.;importare;Passato Prossimo;regular_are;440
мы импортировали сырьё (importare materie prime);Noi abbiamo importato materie prime.;importare;Passato Prossimo;regular_are;440
вы импортировали сырьё (importare materie prime);Voi avete importato materie prime.;importare;Passato Prossimo;regular_are;440
они импортировали сырьё (importare materie prime);Loro hanno importato materie prime.;importare;Passato Prossimo;regular_are;440
я уже импортировал сырье (importare materie prime);Io avevo importato materie prime.;importare;Trapassato Prossimo;regular_are;440
ты уже импортировал сырье (importare materie prime);Tu avevi importato materie prime.;importare;Trapassato Prossimo;regular_are;440
он уже импортировал сырье (importare materie prime);Lui aveva importato materie prime.;importare;Trapassato Prossimo;regular_are;440
она уже импортировала сырье (importare materie prime);Lei aveva importato materie prime.;importare;Trapassato Prossimo;regular_are;440
мы уже импортировали сырье (importare materie prime);Noi avevamo importato materie prime.;importare;Trapassato Prossimo;regular_are;440
вы уже импортировали сырье (importare materie prime);Voi avevate importato materie prime.;importare;Trapassato Prossimo;regular_are;440
они уже импортировали сырье (importare materie prime);Loro avevano importato materie prime.;importare;Trapassato Prossimo;regular_are;440
я буду импортировать сырьё (importare materie prime);Io importerò materie prime.;importare;Futuro Semplice;regular_are;440
ты будешь импортировать сырьё (importare materie prime);Tu importerai materie prime.;importare;Futuro Semplice;regular_are;440
он будет импортировать сырьё (importare materie prime);Lui importerà materie prime.;importare;Futuro Semplice;regular_are;440
она будет импортировать сырьё (importare materie prime);Lei importerà materie prime.;importare;Futuro Semplice;regular_are;440
мы будем импортировать сырьё (importare materie prime);Noi importeremo materie prime.;importare;Futuro Semplice;regular_are;440
вы будете импортировать сырьё (importare materie prime);Voi importerete materie prime.;importare;Futuro Semplice;regular_are;440
они будут импортировать сырьё (importare materie prime);Loro importeranno materie prime.;importare;Futuro Semplice;regular_are;440
я успею импортировать сырье (importare materie prime);Io avrò importato materie prime.;importare;Futuro Anteriore;regular_are;440
ты успеешь импортировать сырье (importare materie prime);Tu avrai importato materie prime.;importare;Futuro Anteriore;regular_are;440
он успеет импортировать сырье (importare materie prime);Lui avrà importato materie prime.;importare;Futuro Anteriore;regular_are;440
она успеет импортировать сырье (importare materie prime);Lei avrà importato materie prime.;importare;Futuro Anteriore;regular_are;440
мы успеем импортировать сырье (importare materie prime);Noi avremo importato materie prime.;importare;Futuro Anteriore;regular_are;440
вы успеете импортировать сырье (importare materie prime);Voi avrete importato materie prime.;importare;Futuro Anteriore;regular_are;440
они успеют импортировать сырье (importare materie prime);Loro avranno importato materie prime.;importare;Futuro Anteriore;regular_are;440
я бы импортировал сырье (materie prime);Io importerei materie prime.;importare;Condizionale Presente;regular_are;440
ты бы импортировал сырье (materie prime);Tu importeresti materie prime.;importare;Condizionale Presente;regular_are;440
он бы импортировал сырье (materie prime);Lui importerebbe materie prime.;importare;Condizionale Presente;regular_are;440
она бы импортировала сырье (materie prime);Lei importerebbe materie prime.;importare;Condizionale Presente;regular_are;440
мы бы импортировали сырье (materie prime);Noi importeremmo materie prime.;importare;Condizionale Presente;regular_are;440
вы бы импортировали сырье (materie prime);Voi importereste materie prime.;importare;Condizionale Presente;regular_are;440
они бы импортировали сырье (materie prime);Loro importerebbero materie prime.;importare;Condizionale Presente;regular_are;440
я бы импортировал сырье (importare materie prime);Io avrei importato materie prime.;importare;Condizionale Passato;regular_are;440
ты бы импортировал сырье (importare materie prime);Tu avresti importato materie prime.;importare;Condizionale Passato;regular_are;440
он бы импортировал сырье (importare materie prime);Lui avrebbe importato materie prime.;importare;Condizionale Passato;regular_are;440
она бы импортировала сырье (importare materie prime);Lei avrebbe importato materie prime.;importare;Condizionale Passato;regular_are;440
мы бы импортировали сырье (importare materie prime);Noi avremmo importato materie prime.;importare;Condizionale Passato;regular_are;440
вы бы импортировали сырье (importare materie prime);Voi avreste importato materie prime.;importare;Condizionale Passato;regular_are;440
они бы импортировали сырье (importare materie prime);Loro avrebbero importato materie prime.;importare;Condizionale Passato;regular_are;440
он хочет, чтобы я импортировал сырье (importare materie prime);Lui vuole che io importi materie prime.;importare;Congiuntivo Presente;regular_are;440
она хочет, чтобы ты импортировал сырье (importare materie prime);Lei vuole che tu importi materie prime.;importare;Congiuntivo Presente;regular_are;440
я думаю, что он импортирует сырье (importare materie prime);Io penso che lui importi materie prime.;importare;Congiuntivo Presente;regular_are;440
я думаю, что она импортирует сырье (importare materie prime);Io penso che lei importi materie prime.;importare;Congiuntivo Presente;regular_are;440
они думают, что мы импортируем сырье (importare materie prime);Loro pensano che noi importiamo materie prime.;importare;Congiuntivo Presente;regular_are;440
я думаю, что вы импортируете сырье (importare materie prime);Io penso che voi importiate materie prime.;importare;Congiuntivo Presente;regular_are;440
я думаю, что они импортируют сырье (importare materie prime);Io penso che loro importino materie prime.;importare;Congiuntivo Presente;regular_are;440
