rank,noun,collocations,ru
7979,immigrazione,,иммиграция
7982,brandy,,бренди
7983,letteratura,,литература
7988,eternità,,вечность
7989,addetto,,ответственный/сотрудник
7990,k,,к
7996,shannon,,Шеннон
8001,fazzolere,,носовой платок
8003,bond,,Бонд/связь
8004,maresciallo,,маршал
8005,crack,,крэк/трещина
8007,Evans,,Эванс
8009,verdura,,овощи
8012,cynthia,,Синтия
8013,fritto,,жареный
8018,personalita,,личность
8023,lore,,Лор
8024,perquisizione,,обыск
8026,goode,,Гуд
8030,Stewart,,Стюарт
8032,cera,,воск
8035,piattaforma,,платформа
8041,pullman,,автобус
8042,stronzetto,,мелкий ублюдок
8044,signorina,,барышня/госпожа
8046,sostituto,,заместитель
8049,graffio,,царапина
8053,donazione,,пожертвование
8054,griglia,,решётка/гриль
8058,strappo,,разрыв/рывок
8059,ops,,ой/упс
8064,percentuale,,процент
8067,suggerimento,,подсказка/предложение
8068,Bennet,,Беннет
8073,fienile,,сарай/амбар
8075,thor,,Тор
8076,choi,,Чой
8080,litigio,,ссора
8083,Camille,,Камилла
8084,preparazione,,подготовка
8088,difetto,,дефект/недостаток
8093,fi,,фи
8094,arizona,,Аризона
8095,editore,,издатель
8099,musicista,,музыкант
8102,crollo,,обвал/крах
8104,granca,,бабушка
8107,evoluzione,,эволюция
8109,esther,,Эстер
8117,pasticcio,,путаница/беспорядок
8119,libreria,,книжный шкаф/книжный магазин
8124,perla,,жемчужина
8126,restere,,останется
8129,manutenzione,,техническое обслуживание
8134,Whiskey,,виски
8136,armatura,,броня/доспехи
8137,agnello,,ягнёнок
8138,Bordello,,бордель
8139,farsa,,фарс
8141,maggioranza,,большинство
8144,Arteria,,артерия
8146,seduta,,заседание
8151,Capitan,,капитан
8157,baracca,,лачуга/барак
8158,arachide,,арахис
8161,panna,,сливки
8167,anatra,,утка
8168,kg,,кг
8173,terremoto,,землетрясение
8174,samuraio,,самурай
8183,vip,,ВИП
8194,Kane,,Кейн
8195,ubriacone,,пьяница
8197,sballo,,кайф/обалдение
8198,brien,,Брайан
8202,artificio,,уловка/хитрость
8203,clacson,,клаксон/гудок
8204,clima,,климат
8209,suv,,внедорожник
8210,pepe,,перец
8213,cugine,,кузина/двоюродная сестра
8215,inchiostro,,чернила
8219,gorilla,,горилла
8221,vicinanza,,близость/соседство
8233,penserare,,подумаю
8242,agnes,,Агнес
8245,nuoto,,плавание
8250,deputato,,депутат
8251,lavoretto,,подработка/мелкая работа
8255,puttanello,,проститутка/шлюха
8263,busho,,Буш
8264,trofeo,,трофей
8266,nash,,Нэш
8269,cicatrice,,шрам
8270,reporter,,репортёр
8272,architetto,,архитектор
8274,dance,,танец
8276,ramo,,ветвь/ветка
8278,dong,,Дон
8280,brett,,Бретт
8282,calza,,чулок/носок
8283,gossip,,сплетня
8285,detroito,,Детройт
8287,scartoffia,,бюрократия/канцелярия
8291,Klingon,,клингон
8294,telegramma,,телеграмма
8298,fume,,дым
8302,profondità,,глубина
8303,muffin,,маффин
8305,tesso,,тку
8306,spogliarellista,,стриптизёрша
8312,account,,аккаунт/счёт
8316,hunt,,охота
8319,navetta,,шаттл/челнок
8320,dolcetto,,конфета/сладость
8323,yogurt,,йогурт
8325,lampo,,вспышка/молния
8330,aggressore,,нападающий
8334,grotta,,пещера
8335,tosse,,кашель
8337,sospensione,,приостановка/подвеска
8342,rimedio,,средство/лекарство
8346,midollo,,мозг/костный мозг
8347,setta,,секта
8349,telegiornale,,теленовости
8353,eredità,,наследство
8356,piombo,,свинец
8372,ratto,,крыса
8374,sessione,,сессия/занятие
8375,arrosto,,жаркое
8376,dignità,,достоинство
8377,reagan,,Рейган
8378,sfera,,сфера/шар
8379,tribù,,племя
8380,lealtà,,верность/лояльность
8382,critica,,критика
8386,but,,но
8391,seung,,Сын
8394,oca,,гусь/гусыня
8397,adrenalina,,адреналин
8400,alt,,стой/альт
8401,tenebra,,мрак/тьма
8404,Capsula,,капсула
8409,psicologia,,психология
8411,antidoto,,противоядие
8413,ammissione,,признание/допуск
8416,polly,,Полли
8419,isabello,,Изабелла
8422,spaccio,,сбыт/наркоторговля
8424,crystale,,кристалл
8425,powell,,Пауэлл
8426,marmellare,,варенье
8435,surf,,сёрфинг
8436,beneficio,,выгода/пособие
8438,fattore,,фактор
8440,cross,,кросс/перекрёстный
8447,preservativo,,презерватив
8454,ms,,мисс
8455,civiltà,,цивилизация
8456,baia,,бухта/залив
8457,aggiornamento,,обновление
8458,gates,,Гейтс
8459,tanner,,Таннер
8469,Bridge,,мост
8470,assaggio,,проба/дегустация
8471,First,,первый
8472,secret,,секрет
8474,violino,,скрипка
8478,separazione,,разделение
8479,splendore,,великолепие/блеск
8480,ponyo,,Поньо
8482,cappella,,часовня
8493,atleta,,атлет
8495,cupcake,,кекс
8497,regolamento,,регламент/правило
8499,task,,задача
8501,bacino,,таз/бассейн
8506,sfondo,,фон/задний план
8507,ragazzone,,здоровяк/большой парень
8518,straccio,,тряпка
8524,seminario,,семинар
8528,lesione,,повреждение/ранение
8530,trent,,Трент
8531,contributo,,вклад
8536,indicazione,,указание
8542,sella,,седло
8546,pettegolezzo,,сплетня
8547,cliff,,Клифф/утёс
8548,zecca,,тик/монетный двор
8551,galla,,галл/желудёвый орех
8556,pompino,,минет
8557,interruttore,,выключатель
8558,specialista,,специалист
8559,rum,,ром
8564,barzelletta,,анекдот
8567,cardinale,,кардинал
8569,officina,,мастерская
8570,pearl,,Перл/жемчужина
8574,municipio,,ратуша/мэрия
8580,Mae,,Мэй
8582,prigioniera,,пленница
8583,pisello,,горошек/горох
8590,Stalker,,сталкер
8593,decina,,десяток
8595,vapore,,пар
8597,curvatura,,кривизна
8598,archie,,Арчи
8600,Collegio,,коллегия/общежитие
8601,buck,,Бак/доллар
8609,puzzle,,головоломка/пазл
8615,difensore,,защитник
8616,popcorn,,попкорн
8617,cucchiaio,,ложка
8619,jenkins,,Дженкинс
8620,parruccare,,парик
8626,gamma,,гамма/диапазон
8630,got,,получил
8631,patrimonio,,наследство/имущество
8632,jamal,,Джамал
8636,materasso,,матрас
8640,frigorifero,,холодильник
8642,brady,,Брэди
8644,veterinario,,ветеринар
8645,vigile,,бдительный/пожарный
8649,postazione,,позиция/рабочее место
8650,distributore,,раздатчик/дозатор/заправка
8652,bolletta,,счёт/квитанция
8657,sigillo,,печать/пломба
8661,check,,чек/проверка
8668,suora,,монахиня
8673,aborto,,аборт
8676,rana,,лягушка
8677,noce,,орех
8678,complotto,,заговор
8683,atlanta,,Атланта
8688,autografo,,автограф
8689,duello,,дуэль
8690,provincia,,провинция
8691,spray,,спрей
8693,irlanda,,Ирландия
8694,ispezione,,инспекция/проверка
8705,soda,,содовая
8706,nano,,гном/карлик
8707,gideon,,Гидеон
8712,uragare,,ураган
8715,sonia,,Соня
8721,streaming,,стриминг/потоковое вещание
8727,anomalia,,аномалия
8728,Fogna,,канализация
8731,drive,,диск/ездить
8732,Costituzione,,конституция
8733,mentore,,наставник
8736,atrio,,вестибюль/фойе
8737,signoria,,господство/суд
8747,oxford,,Оксфорд
8749,postero,,задний/потомок
8753,back,,назад
8754,caveau,,хранилище/сейф
8756,marge,,Мардж
8758,dre,,Дре
8759,furgoncino,,фургон
8766,invenzione,,изобретение
8770,balena,,кит
8773,contenitore,,контейнер
8781,drone,,дрон
8784,precedenza,,очерёдность/приоритет
8788,fontana,,фонтан
8793,documentario,,документальный фильм
8795,deeks,,Дикс
8803,edwards,,Эдвардс
8807,lamento,,жалоба/стон
8809,periferia,,периферия/окраина
8812,capodanno,,Новый год
8814,malvagiare,,злой/злодей
8816,cagna,,сука
8817,montgomery,,Монтгомери
8821,abbigliamento,,одежда
8826,prendina,,накидка/плащ
8830,clive,,Клайв
8831,corna,,рога
8835,asino,,осёл
8836,mantello,,плащ/мантия
8837,yacht,,яхта
8841,frost,,Фрост/мороз
8847,coinvolgimento,,вовлечённость
8848,marion,,Марион
8851,etica,,этика
8855,pisolino,,дремота/сон
8859,eue ge ne,,Эжен
8861,Holt,,Холт
8863,square,,площадь/квадрат
8864,banchetto,,банкет/пирушка
8866,contesto,,контекст
8869,spaccato,,срез/разрез
8870,fortezza,,крепость
8871,dormitorio,,общежитие
8877,bancarotta,,банкротство
8880,morso,,укус
8888,sciarpa,,шарф
8892,bottino,,добыча
8895,colla,,клей
8908,essenza,,сущность/эссенция
8909,mutuo,,ипотека/заём
8910,abbraccio,,объятие
8916,patrigno,,отчим
8917,darryl,,Дэррил
8919,Brusio,,шум/гул
8920,gallo,,петух
8926,evacuazione,,эвакуация
8928,national,,национальный
8933,farina,,мука
8935,accampamento,,лагерь/стоянка
8940,adesivo,,наклейка/стикер
8941,cancelliere,,канцлер
8943,way,,путь/способ
8947,network,,сеть
8948,orgasmo,,оргазм
8952,balcone,,балкон
8955,mazzo,,букет/колода
8961,plotone,,взвод
8965,fore,,фора/передний
8969,salsiccia,,сосиска/колбаса
