rank	original	lemma	POS	tag
1891	scusatemi	scusatema	NOUN	S
1892	ispettore	ispettore	NOUN	S
1893	teoria	teoria	NOUN	S
1894	chiamami	chiamami	VERB	V_PC
1895	dovere	dovere	NOUN	S
1896	camion	camion	NOUN	S
1897	parco	parco	NOUN	S
1898	palazzo	palazzo	NOUN	S
1899	privato	privare	VERB	A
1900	dovreste	dovreste	VERB	VM
1901	troia	Troia	PROPN	SP
1902	chiede	chiedere	VERB	V
1903	volessi	volessi	VERB	V
1904	purtroppo	purtroppo	ADV	B
1905	eccola	eccolare	VERB	V
1906	preoccupata	preoccupare	VERB	V
1907	area	area	NOUN	S
1908	aspettavo	aspettare	VERB	V
1909	prenderti	prendere ti	VERB	V_PC
1910	accusa	accusare	VERB	V
1911	crederci	credere ci	VERB	V_PC
1912	martin	martin	PROPN	SP
1913	stelle	stella	NOUN	S
1914	direttamente	direttamente	ADV	B
1915	ie	ie	NOUN	FF
1916	aiuta	aiutare	VERB	V
1917	esserlo	essere lo	PRON	V_PC
1918	voler	volere	VERB	VA
1919	cento	cento	NUM	N
1920	fidanzata	fidanzato	NOUN	S
1921	andarmene	andare me ne	VERB	V_PC_PC
1922	seriamente	seriamente	ADV	B
1923	pista	pista	NOUN	S
1924	terza	terzo	ADJ	NO
1925	desiderio	desiderio	NOUN	S
1926	preoccupi	preoccupire	VERB	V
1927	mentendo	mentere	VERB	B
1928	ubriaco	ubriaco	ADJ	A
1929	angelo	angelo	NOUN	S
1930	tradurre	tradurre	VERB	V
1931	luci	luce	NOUN	S
1932	popolo	popolo	NOUN	S
1933	case	casa	NOUN	S
1934	grace	grace	NOUN	S
1935	dita	dito	NOUN	S
1936	vince	vincere	VERB	V
1937	infermiera	infermiera	NOUN	S
1938	altezza	altezza	NOUN	S
1939	seduta	sedere	VERB	V
1940	minaccia	minacciare	VERB	V
1941	età	età	NOUN	S
1942	controlla	controllare	VERB	V
1943	nazionale	nazionale	ADJ	A
1944	genio	genio	NOUN	S
1945	caduto	cadere	VERB	V
1946	corri	corro	VERB	V
1947	cinema	cinema	NOUN	S
1948	t	t	PUNCT	FB
1949	passati	passato	ADJ	A
1950	tetto	tetto	NOUN	S
1951	alcuna	alcuno	DET	DI
1952	stella	stella	NOUN	S
1953	josh	Josh	NOUN	S
1954	media	media	ADJ	A
1955	politica	politico	NOUN	A
1956	voci	voce	NOUN	S
1957	suono	suono	NOUN	S
1958	to	to	ADP	E
1959	copertura	coperturare	NOUN	V
1960	conosciamo	conoscere	VERB	V
1961	vissuto	vivere	VERB	V
1962	piaci	piae ci	VERB	V
1963	internet	internet	NOUN	S
1964	eric	eric	PROPN	SP
1965	lettere	lettera	NOUN	S
1966	occupato	occupare	VERB	V
1967	sposata	sposare	VERB	V
1968	cancro	cancro	NOUN	S
1969	numeri	numero	NOUN	S
1970	diamo	dare	VERB	V
1971	credimi	credimi	ADJ	A
1972	compagno	compagno	NOUN	S
1973	merito	merito	NOUN	S
1974	società	società	NOUN	S
1975	quand'	quand	SCONJ	CS
1976	nient'	nient	NOUN	V
1977	spada	spada	NOUN	S
1978	vedermi	vedere mi	VERB	V_PC
1979	scendere	scendere	VERB	V
1980	pazienti	paziente	NOUN	S
1981	kim	Kim	PROPN	SP
1982	dirgli	dire gli	VERB	V_PC
1983	leggi	legge	NOUN	S
1984	cambia	cambiare	VERB	V
1985	facevo	facere	VERB	V
1986	pete	pete	PROPN	SP
1987	sentita	sentire	VERB	V
1988	diventata	diventare	VERB	V
1989	perfettamente	perfettamente	ADV	B
1990	ragazzina	ragazzino	NOUN	S
1991	bicchiere	bicchiere	VERB	V
1992	autobus	autobus	NOUN	S
1993	dargli	darge li	VERB	V_PC
1994	vuoto	vuoto	ADJ	A
1995	porte	porta	NOUN	S
1996	animale	animale	ADJ	A
1997	jason	Jason	PROPN	SP
1998	azienda	azienda	NOUN	S
1999	sabato	sabato	NOUN	S
2000	pollo	pollo	NOUN	S
2001	spiaggia	spiaggia	NOUN	S
2002	ordinato	ordinare	VERB	V
2003	rotta	rotta	NOUN	S
2004	dovesse	dovere	VERB	VM
2005	telefonata	telefonata	NOUN	S
2006	thomas	thomas	PROPN	SP
2007	completo	completo	ADJ	A
2008	lasciamo	lasciare	VERB	V
2009	entri	entrare	VERB	V
2010	liceo	liceo	NOUN	S
2011	rosa	rosa	ADJ	S
2012	mezza	mezzo	ADJ	A
2013	innamorato	innamorare	VERB	V
2014	doccia	doccia	NOUN	S
2015	guardato	guardare	VERB	V
2016	matt	matt	NOUN	SW
2017	stanca	stancare	VERB	V
2018	arrestato	arrestare	VERB	V
2019	esce	uscire	VERB	V
2020	date	dare	VERB	V
2021	venduto	vendere	VERB	V
2022	gara	gara	NOUN	S
2023	comincia	cominciare	VERB	V
2024	orologio	orologio	NOUN	S
2025	eravate	eravate	VERB	V
2026	fan	fan	NOUN	S
2027	erba	erba	NOUN	S
2028	viso	viso	NOUN	S
2029	bevi	bevere	VERB	V
2030	metta	mettere	VERB	V
2031	fece	fare	VERB	V
2032	ascoltate	ascoltare	VERB	V
2033	distanza	distanza	NOUN	S
2034	alice	aole	ADJ	A
2035	maledetto	maledire	VERB	V
2036	chiamarmi	chiamare mi	VERB	V_PC
2037	magnifico	magnifico	ADJ	A
2038	universo	universo	NOUN	A
2039	esame	esame	NOUN	S
2040	quartiere	quartiere	NOUN	S
2041	uccidermi	uccidere mi	VERB	V_PC
2042	andarsene	andare se ne	VERB	V_PC_PC
2043	sposa	sposo	NOUN	S
2044	partito	partire	NOUN	S
2045	lascialo	lasciae lo	VERB	V_PC
2046	strade	strada	NOUN	S
2047	cappello	cappello	NOUN	S
2048	pagina	pagina	NOUN	S
2049	mostra	mostrare	VERB	V
2050	giardino	giardino	NOUN	S
2051	intendevo	intendere	VERB	V
2052	testimoni	testimone	NOUN	S
2053	nera	nero	ADJ	A
2054	taglio	taglio	NOUN	S
2055	velocemente	velocemente	ADV	B
2056	potente	potente	ADJ	A
2057	killer	killer	NOUN	S
2058	potrà	potere	VERB	VM
2059	muore	morire	VERB	V
2060	segni	segno	NOUN	S
2061	paradiso	Paradiso	NOUN	S
2062	rabbia	rabbia	NOUN	S
2063	fuga	fuga	NOUN	S
2064	biglietti	biglietto	NOUN	S
2065	s'	s	PRON	PC
2066	toccare	toccare	VERB	V
2067	termine	termine	NOUN	S
2068	collega	collegare	VERB	V
2069	vittoria	vittoria	NOUN	S
2070	assurdo	assurdo	ADJ	A
2071	mr	mr	NOUN	S
2072	giornale	giornale	NOUN	S
2073	dimmelo	dimmelo	ADJ	A
2074	insegnante	insegnante	NOUN	S
2075	annie	annia	NOUN	S
2076	talento	talento	NOUN	S
2077	o'	o	CCONJ	CC
2078	spaventato	spaventare	VERB	V
2079	naturale	naturale	ADJ	A
2080	vicina	vicino	ADJ	A
2081	coinvolto	coinvolgere	VERB	V
2082	immagini	immagine	NOUN	S
2083	figo	figo	NOUN	A
2084	grossa	grosso	ADJ	A
2085	umana	umano	ADJ	A
2086	amiche	amico	NOUN	S
2087	girare	girare	VERB	V
2088	seria	serio	ADJ	A
2089	corrente	corrente	ADJ	S
2090	libertà	libertà	NOUN	S
2091	rubare	rubare	VERB	V
2092	venendo	venire	VERB	V
2093	doppio	doppio	ADJ	A
2094	immagine	immagine	NOUN	S
2095	certe	certo	DET	DI
2096	conoscerti	conoscere ti	VERB	V_PC
2097	tantissimo	tantissimo	ADV	B
2098	allarme	allarme	NOUN	S
2099	ultime	ultimo	ADJ	NO
2100	militare	militare	ADJ	A
2101	padrone	padrone	NOUN	S
2102	prenderlo	prendere lo	VERB	V_PC
2103	arrivano	arrivare	VERB	V
2104	azioni	azione	NOUN	S
2105	tipi	tipo	NOUN	S
2106	sveglio	sveglio	NOUN	S
2107	amor	amor	NOUN	S
2108	potremo	potere	VERB	VM
2109	preparato	preparare	VERB	V
2110	direzione	direzione	NOUN	S
2111	gratis	gratis	ADV	B
2112	dito	dito	NOUN	S
2113	vendetta	vendetta	NOUN	S
2114	cantare	cantare	VERB	V
2115	distruggere	distruggere	VERB	V
2116	lasciata	lasciare	VERB	V
2117	funzionare	funzionare	VERB	V
2118	invitato	invitare	VERB	V
2119	chuck	Chuck	PROPN	S
2120	regola	regolare	VERB	V
2121	servizi	servizio	NOUN	S
2122	luke	luke	PROPN	SP
2123	zero	zero	NUM	N
2124	ruolo	ruolo	NOUN	S
2125	cavalli	cavallo	NOUN	S
2126	c	c	NOUN	PC
2127	mattino	mattino	NOUN	S
2128	pazzi	pazzo	NOUN	S
2129	funerale	funerale	NOUN	S
2130	dallo	da il	ADP	E_RD
2131	ospiti	ospite	NOUN	S
2132	ministro	ministro	NOUN	S
2133	venti	venti	NUM	N
2134	ottenuto	ottenere	VERB	V
2135	intende	intendere	VERB	V
2136	simon	simon	PROPN	SP
2137	abbiate	abbiate	VERB	V
2138	domenica	domenica	NOUN	S
2139	tette	tetta	NOUN	S
2140	vorrà	vorere	VERB	VM
2141	ted	ted	PROPN	SP
2142	spia	spiare	NOUN	V
2143	manda	mandare	VERB	V
2144	rimani	rimanere	VERB	V
2145	partner	partner	NOUN	S
2146	dritto	drittare	VERB	PQ
2147	presenza	presenza	NOUN	S
2148	eta	eta	NOUN	S
2149	abby	abby	PROPN	SP
2150	succedera	succedee ro	VERB	V
2151	son	son	VERB	V
2152	offerto	offrire	VERB	V
2153	atto	atto	NOUN	S
2154	apprezzo	apprezzare	VERB	V
2155	discutere	discutere	VERB	V
2156	mentire	mentire	VERB	V
2157	gestire	gestire	VERB	V
2158	chilometri	chilometro	NOUN	S
2159	migliaia	migliaio	NOUN	S
2160	sugli	su il	ADP	E_RD
2161	lasciarmi	lasciare mi	VERB	V_PC
2162	volevano	volere	VERB	VM
2163	street	street	NOUN	S
2164	guardati	guardare	VERB	V
2165	domattina	domattina	ADV	B
2166	lasciatemi	Lasciatemi	VERB	V_PC
2167	pensavi	pensavi	VERB	V_PC
2168	vacanza	vacanza	NOUN	S
2169	nemici	nemico	NOUN	S
2170	medicina	medicina	NOUN	S
2171	speriamo	sperare	VERB	V
2172	sali	sale	NOUN	S
2173	tira	tirare	VERB	V
2174	scappato	scappare	VERB	V
2175	pur	pure	ADV	B
2176	informazione	informazione	NOUN	S
2177	lucy	Lucy	PROPN	SP
2178	sposare	sposare	VERB	V
2179	andarcene	andare ce ne	VERB	V_PC_PC
2180	est	Est	NOUN	SW
2181	accaduto	accadere	VERB	V
2182	violenza	violenza	NOUN	S
2183	articolo	articolo	NOUN	S
2184	crescere	crescere	VERB	V
2185	suonare	suonare	VERB	V
2186	forti	forte	ADJ	A
2187	caduta	caduta	NOUN	S
2188	calmo	calmo	ADJ	A
2189	presi	prendere	VERB	V
2190	parlarle	parlare le	VERB	V_PC
2191	cugino	cugino	NOUN	S
2192	fossimo	essime	VERB	V
2193	messaggi	messaggio	NOUN	S
2194	famiglie	famiglia	NOUN	S
2195	povera	povero	ADJ	A
2196	danni	danno	NOUN	S
2197	sentivo	sentire	VERB	V
2198	sospetto	sospetto	NOUN	S
2199	guardie	guardia	NOUN	S
2200	gira	girare	VERB	V
2201	trappola	trappola	NOUN	S
2202	dirai	dirai	VERB	V
2203	starai	stare ai	VERB	V
2204	attenti	attento	ADJ	A
2205	diventando	diventare	VERB	V
2206	criminale	criminale	ADJ	A
2207	lady	Lady	NOUN	S
2208	giacca	giacca	NOUN	S
2209	unita	unire	VERB	V
2210	rossa	rosso	ADJ	A
2211	dormito	dormire	VERB	V
2212	scomparso	scomparire	VERB	V
2213	modi	modo	NOUN	S
2214	entrate	entrata	NOUN	S
2215	sarete	sarete	VERB	VA
2216	commesso	commettere	VERB	V
2217	pugno	pugno	NOUN	S
2218	opinione	opinione	NOUN	S
2219	chiamava	chiamare	VERB	V
2220	cresciuto	crescere	VERB	V
2221	mal	male	ADV	B
2222	interesse	interesse	NOUN	S
2223	laura	laura	PROPN	SP
2224	mettiamo	mettere	VERB	V
2225	bell'	Bell	PROPN	SP
2226	sig	sig	NOUN	S
2227	francia	Francia	PROPN	SP
2228	ossa	ossa	NOUN	S
2229	roma	Roma	PROPN	SP
2230	carico	carico	NOUN	S
2231	fastidio	fastidio	NOUN	S
2232	lisa	Lisa	PROPN	SP
2233	premio	premio	NOUN	S
2234	fermato	fermare	VERB	V
2235	sopravvivere	sopravvivere	VERB	V
2236	studenti	studente	NOUN	S
2237	battuta	battuta	NOUN	S
2238	dappertutto	dappertutto	ADV	B
2239	dave	dave	VERB	SW
2240	tè	tè	NOUN	S
2241	hank	Hank	PROPN	SP
2242	profondo	profondo	ADJ	A
2243	arrivi	arrivare	VERB	V
2244	cella	cella	NOUN	S
2245	finora	finora	ADV	B
2246	membro	membro	NOUN	S
2247	lupo	lupo	NOUN	S
2248	gas	gas	NOUN	S
2249	macchine	macchina	NOUN	S
2250	risposte	risposta	NOUN	S
2251	lotta	lottare	NOUN	S
2252	presento	presentare	VERB	V
2253	piccole	piccolo	ADJ	A
2254	mostri	mostro	NOUN	S
2255	moto	moto	NOUN	S
2256	percento	percento	NOUN	S
2257	jeff	Jeff	NOUN	S
2258	vorra	vorrare	VERB	V
2259	carl	Carl	PROPN	SP
2260	colpi	colpo	NOUN	S
2261	amicizia	amicizia	NOUN	S
2262	diritti	diritto	NOUN	S
2263	pulito	pulito	ADJ	A
2264	protezione	protezione	NOUN	S
2265	disturbo	disturbo	NOUN	S
2266	avranno	avere	VERB	V
2267	assieme	assieme	ADV	B
2268	dicevo	dicevo	VERB	V
2269	diretto	dirigere	VERB	V
2270	pane	pane	NOUN	S
2271	pesante	pesante	ADJ	A
2272	city	City	PROPN	SP
2273	park	park	NOUN	S
2274	aeroporto	aeroporto	NOUN	S
2275	gloria	gloria	NOUN	S
2276	scusarmi	scusare mi	VERB	V_PC
2277	creduto	credere	VERB	V
2278	risponde	rispondere	VERB	V
2279	terapia	terapia	NOUN	V
2280	santa	Santa	ADJ	SP
2281	dirci	dire ci	VERB	V_PC
2282	disastro	disastro	NOUN	S
2283	uova	uovo	NOUN	S
2284	tirato	tirare	VERB	V
2285	tenga	tenere	VERB	V
2286	sedere	sedere	VERB	V
2287	veri	vero	ADJ	A
2288	preparare	preparare	VERB	V
2289	versione	versione	NOUN	S
2290	costruire	costruire	VERB	V
2291	rete	rete	NOUN	S
2292	sean	sean	PROPN	SP
2293	potra	potra	VERB	VM
2294	guardo	guardare	VERB	V
2295	puzza	puzza	NOUN	S
2296	ricco	ricco	ADJ	A
2297	ali	ala	NOUN	S
2298	sposati	sposare	VERB	V
2299	gola	gola	NOUN	S
2300	fumo	fumo	NOUN	S
2301	crisi	crisi	NOUN	S
2302	dirmelo	dirmelo	VERB	V_PC_PC
2303	raggiungere	raggiungere	VERB	V
2304	nervoso	nervoso	ADJ	A
2305	minimo	minimo	NOUN	S
2306	persa	perdere	VERB	V
2307	traccia	traccia	NOUN	S
2308	inghilterra	inghilterra	ADJ	NO
2309	albergo	albergo	NOUN	S
2310	tornate	tornare	VERB	V
2311	incendio	incendio	NOUN	S
2312	falso	falso	ADJ	A
2313	dirglielo	dirglielo	VERB	V_PC
2314	ucciderlo	uccidere lo	VERB	V_PC
2315	polvere	polvere	NOUN	S
2316	chicago	Chicago	PROPN	SP
2317	gioia	gioia	NOUN	S
2318	fucile	fucile	NOUN	S
2319	maniera	maniera	NOUN	S
2320	william	William	PROPN	SP
2321	sessuale	sessuale	ADJ	S
2322	orecchie	orecchia	NOUN	S
2323	privata	privato	ADJ	A
2324	tentativo	tentativo	NOUN	S
2325	weekend	weekend	NOUN	S
2326	totale	totale	ADJ	A
2327	poche	poco	PRON	PI
2328	sicuri	sicuro	ADJ	A
2329	sentirmi	sentire mi	VERB	V_PC
2330	aspettiamo	aspettare	VERB	V
2331	svegliati	svegliare	VERB	V
2332	parlano	parlare	VERB	V
2333	scherzi	scherzo	NOUN	S
2334	trucco	trucco	NOUN	S
2335	lord	Lord	NOUN	S
2336	trovate	trovare	VERB	V
2337	t'	t	ADP	E
2338	dovevamo	dovere	VERB	V
2339	nascondere	nascondere	VERB	V
2340	aiutarci	aiutare ci	VERB	V_PC
2341	succederà	succedere	VERB	V
2342	rendere	rendere	VERB	V
2343	urla	urla	NOUN	S
2344	larry	larry	PROPN	SP
2345	calda	caldo	ADJ	A
2346	aspettato	aspettare	VERB	V
2347	dovessi	dovessi	VERB	VM
2348	ambulanza	ambulanza	NOUN	S
2349	superiore	superiore	ADJ	A
2350	m	m	NOUN	S
2351	dean	dean	PROPN	SP
2352	volare	volare	VERB	V
2353	mancato	mancare	VERB	V
2354	perdono	perdere	VERB	V
2355	errori	errore	NOUN	S
2356	proprietario	proprietario	NOUN	S
2357	piaccia	piacciere	VERB	V
2358	raccontato	raccontare	VERB	V
2359	ospite	ospite	NOUN	S
2360	dovro	dovro	VERB	VM
2361	dovrò	dovrò	VERB	VM
2362	dillo	dillo	VERB	V
2363	poteri	potere	NOUN	S
2364	credito	credito	NOUN	S
2365	recente	recente	ADJ	A
2366	dovrà	dovere	VERB	VM
2367	pizza	pizza	NOUN	S
2368	fatemi	fatemi	NOUN	V_PC
2369	amato	amare	VERB	V
2370	kyle	kyle	NOUN	S
2371	telecamere	telecamera	NOUN	S
2372	quarto	quarto	ADJ	NO
2373	bravi	bravo	ADJ	A
2374	avessero	avere	VERB	VA
2375	movimento	movimento	NOUN	S
2376	regno	regno	NOUN	S
2377	volevamo	volere	VERB	V
2378	stomaco	stomacare	VERB	S
2379	membri	membro	NOUN	S
2380	licenziato	licenziare	VERB	V
2381	preferirei	preferirei	VERB	V_PC
2382	tirare	tirare	VERB	V
2383	chiedevo	chiedere	VERB	V
2384	analisi	analisi	NOUN	S
2385	muoversi	muovere si	VERB	V_PC
2386	merita	meritare	VERB	V
2387	volesse	volere	VERB	V
2388	promessa	promessa	NOUN	S
2389	capita	capitare	VERB	V
2390	farvi	fare vi	VERB	V_PC
2391	credete	credere	VERB	V
2392	sissignore	sissignore	NOUN	S
2393	dannato	dannare	VERB	V
2394	phil	phil	PROPN	SP
2395	baby	baby	NOUN	S
2396	bei	bello	ADJ	A
2397	assicuro	assicuro	ADJ	A
2398	abbandonato	abbandonare	ADJ	A
2399	facilmente	facilmente	ADV	B
2400	scale	scala	NOUN	S
2401	attorno	attorno	ADV	B
2402	darò	daere	VERB	V
2403	smetterla	smettere la	VERB	V_PC
2404	corpi	corpo	NOUN	S
2405	sospettato	sospettare	VERB	V
2406	mettendo	mettere	VERB	V
2407	puo'	puo	VERB	VM
2408	cinese	cinese	ADJ	A
2409	verranno	venire	VERB	VA
2410	imbarazzante	imbarazzare	ADJ	A
2411	fonte	fonte	NOUN	S
2412	mancano	mancare	VERB	V
2413	perdendo	perdere	VERB	V
2414	studiare	studiare	VERB	V
2415	divano	dire	VERB	V
2416	amante	amante	NOUN	S
2417	risultato	risultato	NOUN	S
2418	accuse	accusa	NOUN	S
2419	jerry	Jerry	PROPN	SP
2420	societa	societa	NOUN	S
2421	neppure	neppure	ADV	BN
2422	bloccato	bloccare	VERB	V
2423	avessimo	avere	VERB	B
2424	tornati	tornare	VERB	V
2425	scrivania	scrivaniare	NOUN	S
2426	complicato	complicato	ADJ	A
2427	louis	Louis	PROPN	SP
2428	pavimento	pavimento	NOUN	S
2429	tolto	togliere	VERB	V
2430	mila	mila	NUM	N
2431	famoso	famoso	ADJ	A
2432	desideri	desidero	NOUN	S
2433	lily	lily	NOUN	S
2434	traffico	traffico	NOUN	S
2435	avrete	avere	VERB	V
2436	eccoti	eccoe ti	VERB	V_PC
2437	contare	contare	VERB	V
2438	cia	cia	PROPN	SP
2439	prestito	prestito	NOUN	S
2440	potreste	potreste	VERB	VM
2441	solamente	solamente	ADV	B
2442	chissà	chissà	ADV	B
2443	sorriso	sorriso	NOUN	S
2444	sentiamo	sentire	VERB	V
2445	lavorava	lavorare	VERB	V
2446	ferite	ferita	NOUN	S
2447	proiettile	proiettile	NOUN	S
2448	motore	motore	NOUN	S
2449	specialmente	specialmente	ADV	B
2450	posta	porre	VERB	V
2451	darle	dare le	VERB	V_PC
2452	lontana	lontano	ADJ	A
2453	file	fila	NOUN	S
2454	ingresso	ingresso	NOUN	S
2455	riuscivo	riuscire	VERB	V
2456	respira	respirare	VERB	V
2457	mettiti	mettire	VERB	V
2458	fido	fidare	ADJ	A
2459	nate	nascere	VERB	V
2460	roger	roger	NOUN	S
2461	lasciati	lasciare	VERB	V
2462	piatto	piatto	NOUN	S
2463	folle	folle	ADJ	A
2464	proposta	proposta	NOUN	S
2465	rapporti	rapporto	NOUN	S
2466	tuttavia	tuttavia	ADV	B
2467	cazzate	cazzare	VERB	V
2468	affascinante	affascinare	ADJ	A
2469	virus	virus	NOUN	S
2470	liberta	liberta	NOUN	S
2471	simili	simile	ADJ	A
2472	jenny	Jenny	NOUN	S
2473	carter	carter	NOUN	S
2474	prenderla	prendere la	VERB	V_PC
2475	bugie	bugia	NOUN	S
2476	clark	Clark	PROPN	SP
2477	prese	prendere	VERB	V
2478	sterline	sterlina	NOUN	S
2479	trovarmi	trovare mi	VERB	V_PC
2480	frattempo	frattempo	ADV	B
2481	leo	Leo	PROPN	SP
2482	banda	banda	NOUN	S
2483	esplosione	esplosione	NOUN	S
2484	alan	alan	PROPN	SP
2485	calcio	calcio	NOUN	S
2486	ricerche	ricerca	NOUN	S
2487	lago	Lago	NOUN	S
2488	barry	barry	NOUN	S
2489	ascolto	ascolto	NOUN	S
2490	teatro	teatro	NOUN	S
2491	riusciamo	riuscire	VERB	V_PC
2492	ladro	ladro	NOUN	S
2493	spaventata	spaventare	VERB	V
2494	compagni	compagno	NOUN	S
2495	facciamolo	facciamolo	VERB	V_PC
2496	tentato	tentare	VERB	V
2497	sorpreso	sorprendere	VERB	V
2498	pioggia	pioggia	NOUN	S
2499	debito	debito	NOUN	S
2500	occhiali	occhialo	NOUN	S
2501	conoscete	conoscete	VERB	V
2502	taglia	taglia	NOUN	S
2503	gary	Gary	PROPN	SP
2504	resynch	resynch	NOUN	S
2505	pietra	pietra	NOUN	S
2506	uccello	uccello	NOUN	S
2507	sito	sito	NOUN	S
2508	maiale	maiale	ADJ	A
2509	dubito	dubire	VERB	V
2510	parcheggio	parcheggio	NOUN	S
2511	serviva	servire	VERB	V
2512	camicia	camicia	NOUN	S
2513	comportamento	comportamento	NOUN	S
2514	comodo	comodo	ADJ	A
2515	montagna	montagna	NOUN	S
2516	respirare	respirare	VERB	V
2517	uccisi	uccidere	VERB	V
2518	bianchi	bianco	ADJ	S
2519	seguendo	seguire	VERB	V
2520	costruito	costruire	VERB	V
2521	formaggio	formaggio	NOUN	S
2522	kelly	Kelly	PROPN	SP
2523	sparo	sparo	NOUN	S
2524	assunto	assumere	VERB	V
2525	uscite	uscita	NOUN	S
2526	sapessi	sapessare	VERB	V
2527	facevi	facevi	VERB	V
2528	diretta	diretta	ADJ	A
2529	averne	avere ne	VERB	V_PC
2530	spazzatura	spazzatura	NOUN	S
2531	divorzio	divorzio	NOUN	S
2532	innamorata	innamorare	VERB	V
2533	tagliato	tagliare	VERB	V
2534	maggie	maggia	NOUN	S
2535	possano	potere	VERB	VM
2536	fatte	fare	VERB	V
2537	tazza	tazza	NOUN	S
2538	agenzia	agenzia	NOUN	S
2539	volto	volgere	NOUN	S
2540	morgan	Morgan	PROPN	SP
2541	intervento	intervento	NOUN	S
2542	creda	credere	VERB	V
2543	mucchio	mucchio	NOUN	S
2544	permettere	permettere	VERB	V
2545	salto	salto	NOUN	S
2546	team	team	X	SW
2547	rimasti	rimanere	VERB	V
2548	puntate	puntata	NOUN	S
2549	pensieri	pensiero	NOUN	S
2550	taylor	taylor	PROPN	SP
2551	soccorso	soccorso	NOUN	S
2552	respiro	respiro	NOUN	S
2553	giuria	giuria	NOUN	S
2554	modello	modello	NOUN	S
2555	panico	panico	NOUN	S
2556	darci	dare ci	VERB	V_PC
2557	giornali	giornale	NOUN	S
2558	ombra	ombra	NOUN	S
2559	piscina	piscina	NOUN	S
2560	marina	Marina	NOUN	S
2561	ricordate	ricordare	VERB	V
2562	portate	portare	VERB	V
2563	tavola	tavola	NOUN	S
2564	mezz'	mezz	NOUN	S
2565	trovarla	trovare la	VERB	V_PC
2566	carica	carica	NOUN	S
2567	salta	saltare	VERB	V
2568	pensione	pensione	NOUN	S
2569	copia	copia	NOUN	S
2570	pilota	pilota	NOUN	S
2571	sorveglianza	sorveglianza	NOUN	S
2572	dichiarazione	dichiarazione	NOUN	S
2573	costretto	costringere	VERB	V
2574	smetti	smettare	VERB	V
2575	neri	nero	ADJ	A
2576	limite	limite	NOUN	S
2577	portarlo	portare lo	VERB	V_PC
2578	bugia	bugia	NOUN	S
2579	mettermi	mettere mi	VERB	V_PC
2580	elizabeth	elizabeth	NOUN	SP
2581	centinaia	centinaio	NOUN	S
2582	affitto	affitto	NOUN	S
2583	appartiene	appartenere	VERB	V
2584	idioti	idioto	ADJ	A
2585	evento	evento	NOUN	S
2586	bugiardo	bugiardo	NOUN	S
2587	governatore	governatore	NOUN	S
2588	riusciti	riuscire	VERB	V
2589	venne	venire	VERB	VA
2590	sé	sé	PRON	PC
2591	daro	daro	VERB	SP
2592	dono	dono	NOUN	S
2593	amanda	amandare	VERB	V
2594	moda	moda	NOUN	S
2595	petto	petto	NOUN	S
2596	custodia	custodia	NOUN	S
2597	dovra	dovra	VERB	VM
2598	farne	fare ne	VERB	V_PC
2599	impressione	impressione	NOUN	S
2600	strega	strega	NOUN	S
2601	jackson	Jackson	PROPN	SP
2602	coso	coso	ADJ	A
2603	malata	malare	VERB	S
2604	dimostrare	dimostrare	VERB	V
2605	terreno	terreno	NOUN	S
2606	tradito	tradire	VERB	V
2607	neve	neve	NOUN	S
2608	veniva	venire	VERB	VA
2609	impegnato	impegnare	VERB	V
2610	portando	portare	VERB	V
2611	interessi	interesse	NOUN	S
2612	vorrai	vorere	VERB	V_PC
2613	speciali	speciale	ADJ	A
2614	odia	odiare	VERB	V
2615	molly	molly	NOUN	S
2616	portarti	portare ti	VERB	V_PC
2617	ragioni	ragione	NOUN	S
2618	gelato	gelato	ADJ	A
2619	perfino	perfino	ADV	B
2620	spara	sparare	VERB	V
2621	lentamente	lentamente	ADV	B
2622	metterti	mettere ti	VERB	V_PC
2623	vergogna	vergogna	NOUN	S
2624	adorabile	adorabile	ADJ	A
2625	iniziamo	inizere	VERB	V
2626	chloe	Chloe	NOUN	V_PC
2627	castello	castello	NOUN	S
2628	medici	medico	NOUN	S
2629	pazienza	pazienza	NOUN	S
2630	organizzato	organizzare	ADJ	A
2631	sonno	sonno	NOUN	S
2632	trovati	trovare	VERB	V
2633	colleghi	collega	NOUN	S
2634	toccato	toccare	VERB	V
2635	malapena	malapena	NOUN	S
2636	nota	noto	NOUN	A
2637	tornando	tornare	VERB	V
2638	conoscerla	conoscere la	VERB	V_PC
2639	maschio	maschio	NOUN	S
2640	ascoltando	ascoltare	VERB	V
2641	mostrato	mostrare	VERB	V
2642	karen	Karen	PROPN	SP
2643	festeggiare	festeggiare	VERB	V
2644	indovinare	indovinare	VERB	V
2645	liberi	libero	ADJ	A
2646	attaccato	attaccare	VERB	V
2647	togliere	togliere	VERB	V
2648	risolto	risogliere	VERB	V
2649	sporco	sporco	ADJ	A
2650	pari	pari	ADJ	A
2651	passate	passare	VERB	V
2652	sentirti	sentire ti	VERB	V_PC
2653	voti	voto	NOUN	S
2654	passando	passare	VERB	V
2655	complimenti	complimento	NOUN	S
2656	nathan	nae th an	VERB	V_PC_PC
2657	miracolo	miracolo	NOUN	S
2658	epoca	epoca	NOUN	S
2659	vicenda	vicenda	NOUN	S
2660	divertimento	divertimento	NOUN	S
2661	meriti	merito	NOUN	S
2662	volere	volere	VERB	V
2663	troppe	troppo	DET	DI
