rank,adjective,msg,fsg,mpl,fpl,collocations,ru
7092,valerie,valerie,valerie,valerii,valerii,,Валери
7095,rapido,rapido,rapida,rapidi,rapide,,быстрый
7099,occidentale,occidentale,occidentale,occidentali,occidentali,,западный
7129,distante,distante,distante,distanti,distanti,,далёкий
7131,digitale,digitale,digitale,digitali,digitali,,цифровой
7133,permanente,permanente,permanente,permanenti,permanenti,,постоянный
7181,seguente,seguente,seguente,seguenti,seguenti,,следующий
7187,sobrio,sobrio,sobria,sobrii,sobrie,,трезвый
7201,finanziario,finanziario,finanziaria,finanziarii,finanziarie,,финансовый
7208,globale,globale,globale,globali,globali,,глобальный
7217,daphne,daphne,daphne,daphni,daphni,,Дафна
7254,alimentare,alimentare,alimentare,alimentari,alimentari,,пищевой
7278,Suprema,suprema,suprema,supremi,supreme,,верховная
7318,stradale,stradale,stradale,stradali,stradali,,дорожный
7319,chelsea,chelsea,chelsea,chelsei,chelsee,,Челси
7327,volgare,volgare,volgare,volgari,volgari,,вульгарный
7328,basato,basato,basata,basati,basate,,основанный
7342,timido,timido,timida,timidi,timide,,застенчивый
7346,quassu,quassu,quassu,quassu,quassu,,вверху
7353,high,high,high,high,high,,высокий
7359,incantevole,incantevole,incantevole,incantevoli,incantevoli,,очаровательный
7368,piccolino,piccolino,piccolina,piccolini,piccoline,,маленький
7373,piccante,piccante,piccante,piccanti,piccanti,,острый
7385,ritrovo,ritrovo,ritrova,ritrovi,ritrove,,встреча
7425,esclusivo,esclusivo,esclusiva,esclusivi,esclusive,,исключительный
7427,infantile,infantile,infantile,infantili,infantili,,детский
7428,pacifico,pacifico,pacifica,pacifici,pacifice,,мирный
7436,frocio,frocio,frocia,frocii,frocie,,педик
7441,rossettare,rossettare,rossettare,rossettari,rossettari,,красить губы
7454,emotivo,emotivo,emotiva,emotivi,emotive,,эмоциональный
7473,sentimentale,sentimentale,sentimentale,sentimentali,sentimentali,,сентиментальный
7489,umile,umile,umile,umili,umili,,скромный
7538,mini,mini,mini,mini,mini,,мини
7541,spettacolare,spettacolare,spettacolare,spettacolari,spettacolari,,зрелищный
7548,aah,aah,aah,aah,aah,,аах
7550,immediato,immediato,immediata,immediati,immediate,,немедленный
7587,vigliacco,vigliacco,vigliacca,vigliacci,vigliacce,,трусливый
7595,intenso,intenso,intensa,intensi,intense,,интенсивный
7601,differente,differente,differente,differenti,differenti,,другой/отличный
7609,paranoico,paranoico,paranoica,paranoici,paranoice,,параноидальный
7626,elettorale,elettorale,elettorale,elettorali,elettorali,,избирательный
7640,gold,gold,gold,gold,gold,,золотой
7644,estremo,estremo,estrema,estremi,estreme,,крайний
7648,spiacevole,spiacevole,spiacevole,spiacevoli,spiacevoli,,неприятный
7653,tenero,tenero,tenera,teneri,tenere,,нежный
7657,terrestre,terrestre,terrestre,terrestri,terrestri,,земной
7670,dimentico,dimentico,dimentica,dimentici,dimentice,,забывчивый
7680,biologico,biologico,biologica,biologici,biologice,,биологический
7687,pallido,pallido,pallida,pallidi,pallide,,бледный
7702,sopravvissuto,sopravvissuto,sopravvissuta,sopravvissuti,sopravvissute,,выживший
7715,chiamalo,chiamalo,chiamala,chiamali,chiamale,,назови его
7720,storico,storico,storica,storici,storice,,исторический
7739,rodney,rodney,rodney,rodney,rodney,,Родни
7749,operativo,operativo,operativa,operativi,operative,,оперативный
7757,audio,audio,audia,audii,audie,,аудио
7795,tradizionale,tradizionale,tradizionale,tradizionali,tradizionali,,традиционный
7815,fammelo,fammelo,fammela,fammeli,fammele,,дай мне
7821,scuro,scuro,scura,scuri,scure,,тёмный
7860,terrificante,terrificante,terrificante,terrificanti,terrificanti,,ужасающий
7883,onnipotente,onnipotente,onnipotente,onnipotenti,onnipotenti,,всемогущий
7893,insopportabile,insopportabile,insopportabile,insopportabili,insopportabili,,невыносимый
7894,essenziale,essenziale,essenziale,essenziali,essenziali,,существенный
7920,shirley,shirley,shirley,shirley,shirley,,Ширли
7922,cosciente,cosciente,cosciente,coscienti,coscienti,,сознающий
7927,maleducato,maleducato,maleducata,maleducati,maleducate,,невежливый
7957,uccidie lo,uccidie lo,uccidie la,uccidie li,uccidie le,,убей его
7967,Brendan,brendan,brendan,brendan,brendan,,Брендан
7973,vincente,vincente,vincente,vincenti,vincenti,,победный
7977,price,price,price,prici,prici,,Прайс
7993,gia il,gia il,gia il,gia il,gia il,,уже
8002,Rafael,rafael,rafael,rafael,rafael,,Рафаэль
8031,now,now,now,now,now,,сейчас
8047,fumetto,fumetto,fumetta,fumetti,fumette,,комикс
8108,Mills,mills,mills,mills,mills,,Миллс
8115,dante,dante,dante,danti,danti,,Данте
8122,aggressivo,aggressivo,aggressiva,aggressivi,aggressive,,агрессивный
8132,notturno,notturno,notturna,notturni,notturne,,ночной
8147,brutale,brutale,brutale,brutali,brutali,,жестокий
8156,anonimo,anonimo,anonima,anonimi,anonime,,анонимный
8165,art,art,art,art,art,,искусство
8169,orientale,orientale,orientale,orientali,orientali,,восточный
8181,ispirare,ispirare,ispirare,ispirari,ispirari,,вдохновлять
8182,rilevante,rilevante,rilevante,rilevanti,rilevanti,,значимый
8186,tossico,tossico,tossica,tossici,tossice,,токсичный
8214,fastidioso,fastidioso,fastidiosa,fastidiosi,fastidiose,,надоедливый
8229,romano,romano,romana,romani,romane,,римский
8234,trish,trish,trish,trish,trish,,Триш
8241,vega,vega,vega,vegi,vege,,Вега
8247,gabrielle,gabrielle,gabrielle,gabrielli,gabrielli,,Габриэль
8248,spiritoso,spiritoso,spiritosa,spiritosi,spiritose,,остроумный
8257,comprensibile,comprensibile,comprensibile,comprensibili,comprensibili,,понятный
8261,lentare,lentare,lentare,lentari,lentari,,медлить
8268,privo,privo,priva,privi,prive,,лишённый
8290,celeste,celeste,celeste,celesti,celesti,,небесно-голубой
8300,educato,educato,educata,educati,educate,,вежливый
8307,ipocrita,ipocrita,ipocrita,ipocriti,ipocrite,,лицемерный
8314,lealto,lealto,lealta,lealti,lealte,,верный
8317,contabile,contabile,contabile,contabili,contabili,,бухгалтерский
8326,furioso,furioso,furiosa,furiosi,furiose,,яростный
8336,stu,stu,stu,stu,stu,,это
8360,allegro,allegro,allegra,allegri,allegre,,весёлый
8364,irrilevante,irrilevante,irrilevante,irrilevanti,irrilevanti,,несущественный
8368,immortale,immortale,immortale,immortali,immortali,,бессмертный
8381,azzurro,azzurro,azzurra,azzurri,azzurre,,голубой
8388,miserabile,miserabile,miserabile,miserabili,miserabili,,жалкий
8389,neonato,neonato,neonata,neonati,neonate,,новорождённый
8403,laurio,laurio,lauria,laurii,laurie,,Лаурио
8407,automatico,automatico,automatica,automatici,automatice,,автоматический
8414,abe,abe,abe,abi,abi,,Эйб
8431,rispettabile,rispettabile,rispettabile,rispettabili,rispettabili,,уважаемый
8505,fatale,fatale,fatale,fatali,fatali,,роковой
8508,marcio,marcio,marcia,marcii,marcie,,гнилой
8514,comico,comico,comica,comici,comice,,комический
8515,insignificante,insignificante,insignificante,insignificanti,insignificanti,,незначительный
8516,aziendale,aziendale,aziendale,aziendali,aziendali,,корпоративный
8525,casuale,casuale,casuale,casuali,casuali,,случайный
8552,autentico,autentico,autentica,autentici,autentice,,подлинный
8607,irritante,irritante,irritante,irritanti,irritanti,,раздражающий
8612,zoey,zoey,zoey,zoey,zoey,,Зои
8621,corretto,corretto,corretta,corretti,corrette,,правильный
8658,annuale,annuale,annuale,annuali,annuali,,ежегодный
8674,arancione,arancione,arancione,arancioni,arancioni,,оранжевый
8687,infernale,infernale,infernale,infernali,infernali,,адский
8692,tragico,tragico,tragica,tragici,tragice,,трагический
8696,imminente,imminente,imminente,imminenti,imminenti,,надвигающийся
8709,banale,banale,banale,banali,banali,,банальный
8716,temporaneo,temporaneo,temporanea,temporanei,temporanee,,временный
8718,industriale,industriale,industriale,industriali,industriali,,промышленный
8722,janice,janice,janice,janici,janici,,Дженис
8724,bea,bea,bea,bei,bee,,Беа
8748,creativo,creativo,creativa,creativi,creative,,творческий
8752,deficiente,deficiente,deficiente,deficienti,deficienti,,недостаточный
8780,lionel,lionel,lionel,lionel,lionel,,Лайонел
8782,buone,buone,buone,buoni,buoni,,хорошие
8805,audace,audace,audace,audaci,audaci,,смелый
8838,credibile,credibile,credibile,credibili,credibili,,правдоподобный
8843,strizzacervello,strizzacervello,strizzacervella,strizzacervelli,strizzacervelle,,шарлатан
8844,puzzio,puzzio,puzzia,puzzii,puzzie,,вонючий
8845,maxine,maxine,maxine,maxini,maxini,,Максин
8849,primario,primario,primaria,primarii,primarie,,первичный
8850,offensivo,offensivo,offensiva,offensivi,offensive,,оскорбительный
8862,sportivo,sportivo,sportiva,sportivi,sportive,,спортивный
8874,elijah,elijah,elijah,elijah,elijah,,Илайджа
8881,artificiale,artificiale,artificiale,artificiali,artificiali,,искусственный
8882,aidan,aidan,aidan,aidan,aidan,,Эйдан
8891,oppa,oppa,oppa,oppi,oppe,,оппа
8896,verito,verito,verita,veriti,verite,,правдивый
8897,elaine,elaine,elaine,elaini,elaini,,Элейн
8911,diversivo,diversivo,diversiva,diversivi,diversive,,отвлекающий
8924,definitivo,definitivo,definitiva,definitivi,definitive,,окончательный
8925,appassionato,appassionato,appassionata,appassionati,appassionate,,страстный
8929,svedese,svedese,svedese,svedesi,svedesi,,шведский
8932,solletico,solletico,solletica,solletici,solletice,,щекотка
8953,laureato,laureato,laureata,laureati,laureate,,выпускник
8958,caeo,caeo,caea,caei,caee,,Каео
8968,ostile,ostile,ostile,ostili,ostili,,враждебный
8974,superficiale,superficiale,superficiale,superficiali,superficiali,,поверхностный
