rank,verb,collocations,ru
1547,ridere,far ridere;ridendo di gusto;ridere a crepapelle;ridere amaramente;ridere di cuore;ridere di nervoso;ridere in faccia;ridere nervosamente;ridere sottovoce;ridere tra sé e sé,смеяться/засмеяться/хохотать
1569,costare,costa troppo;costa una fortuna;costano molto;mi è costato caro;non costa nulla,стоить/обходиться
1583,ferire,essere gravemente ferito;essere leggermente ferito;ferire l'orgoglio;ferire la sensibilità;ferire profondamente qualcuno;ferire un animale;rimanere ferito;venire ferito,ранить/обидеть/уязвить
1606,preferire,attività preferita;canzone preferita;persona preferita;piatto preferito;preferire il silenzio;preferire l'indipendenza;preferire la qualità;preferire la semplicità;preferire la sicurezza;preferisce mangiare,предпочитать/отдавать предпочтение
1619,fidanzare,diventare fidanzati;essere fidanzati;rimanere fidanzati;trovare un fidanzato,обручаться/помолвиться
1637,nascere,nasce un problema;nasce una speranza;nascere da;nascere di nuovo;nascere male;nascono nuove idee;nate dall'esperienza;nate male;nato di nuovo;nato e cresciuto;nuovamente nata;sono nati molti dubbi;è nato un mito,рождаться/родиться/возникать
1640,contare,contare i giorni;contare i soldi;contare i voti;contare le calorie;contare le ore;contare le perdite;contare le spese;contare su qualcuno;non contare nulla,считать/подсчитывать/рассчитывать
1643,risolvere,risolvere l'enigma;risolvere un calcolo;risolvere un conflitto;risolvere un contenzioso;risolvere un dubbio;risolvere un mistero;risolvere un problema;risolvere un quesito;risolvere una questione,решать/разрешать/улаживать
1648,affrontare,affrontare il dolore;affrontare il problema;affrontare la sfida;affrontare le conseguenze;affrontare un avversario;affrontare un costo;affrontare un ostacolo;affrontare un rischio;affrontare una crisi;affrontare una spesa;affrontato il problema;affrontato il rischio;affrontato l'argomento;affrontato la sfida;affrontato la situazione,сталкиваться/противостоять/решаться
1653,ballare,balla a ritmo;balla il walzer;balla un tango;ballare a ritmo;ballare il valzer;ballare in coppia;ballare insieme;ballare la salsa;ballare un lento;iniziare a ballare,танцевать/плясать
1666,alzare,alza il volume;alza la voce;alza le mani;alza lo sguardo;alzare i tacchi;alzare il gomito;alzare il volume;alzare l'asticella;alzare la testa;alzare la voce;alzare le mani;alzare le serrande;alzare lo sguardo;alzati in piedi;alzato i prezzi;alzato il volume;alzato lo sguardo;alzi la mano;alzi la voce;alzi lo sguardo;aver alzato la voce;si alza in piedi,поднимать/поднять/возвышать
1667,accettare,accettare la realtà;accettare le condizioni;accettare le scuse;accettare un compromesso;accettare un consiglio;accettare un invito;accettare un regalo;accettare un rimborso;accettare una proposta;accettare una sfida;accettato l'invito;accettato senza riserve;accettato volentieri;accetti il rischio;accetti l'invito;accetti la sfida;accetti le condizioni;accetti le scuse;accetto i termini;accetto l'invito;accetto la sfida;accetto le condizioni;accetto le scuse;essere accettato,принимать/принять/соглашаться
1685,mandare,manda a dire;manda in pensione;manda in rovina;manda un messaggio;mandando in pensione;mandando in rovina;mandando un messaggio;mandando una mail;mandare a vuoto;mandare al diavolo;mandare avanti;mandare avanti gli affari;mandare in giro;mandare in pensione;mandare in rovina;mandare un messaggio;mandare una mail;mandare via;mandata all'aria;mandata in malora;mandata in rovina;mandi a dire;mandi in rovina;mandi un messaggio;mandi una mail,посылать/отправлять/направлять
1686,fidare,fida di sé;fidarsi ciecamente;fidarsi del proprio istinto;fidarsi della sorte;fidarsi di qualcuno;fidarsi totalmente;fidati della scienza;non fidarsi,доверять/доверяться/полагаться
1690,creare,crea confusione;crea opportunità;crea problemi;crea tensione;crea un account;creare confusione;creare contenuti digitali;creare nuovi posti di lavoro;creare opportunità;creare problemi;creare un account;creare un forte impatto;creare un legame;creare un'atmosfera accogliente;creare una nuova realtà;ha creato confusione;ha creato l'opportunità;ha creato problemi;ha creato un legame;ha creato un precedente,создавать/создать/творить
1693,dipendere,dipende dagli impegni;dipende dai risultati;dipende dalla situazione;dipende dalle circostanze;dipende dalle condizioni;dipende dalle decisioni,зависеть/находиться в зависимости
1705,vendere,essere venduto bene;vende a rate;vende prodotti;vendere a rate;vendere al dettaglio;vendere all'asta;vendere bene;vendere l'anima;vendere la casa;vendere online;vendere sottocosto;vendere tutto;vendere un immobile,продавать/продать/торговать
1753,suonare,suona la chitarra;suona la sveglia;suonare bene;suonare il campanello;suonare il piano;suonare la chitarra;suonare un concerto;suonare un pezzo;suonare una canzone;suonare una melodia;suonare uno strumento;suonato il piano;suonato il violino;suonato l'organo;suonato la chitarra;suonato un brano,звонить/играть/звучать
1773,seguire,segue a ruota;segue il consiglio;segue l'esempio;segue le istruzioni;segue un corso;seguendo il consiglio;seguendo la strada;seguendo un esempio;segui i passi;segui il consiglio;segui le istruzioni;segui un corso;seguire a ruota;seguire i passi;seguire le istruzioni;seguire un consiglio;seguire un corso;seguire un film;seguire un sospetto;seguire una dieta;seguire una lezione;seguire una serie,следовать/сопровождать/преследовать
1783,distruggere,aver distrutto l'ambiente;aver distrutto le prove;distruggere i sogni;distruggere il morale;distruggere il patrimonio;distruggere l'ambiente;distruggere la carriera;distruggere le prove;distruggere tutto;distruggere un impero;distruggere un sogno;distruggere una città;essersi distrutto la vita,разрушать/уничтожать/разорять
1791,mantenere,mantenere il contatto;mantenere il segreto;mantenere l'equilibrio;mantenere la calma;mantenere la concentrazione;mantenere la forma;mantenere la posizione;mantenere le distanze;mantenere lo status quo;mantenere una promessa,поддерживать/сохранять/содержать
1798,insegnare,ha insegnato l'inglese;ha insegnato l'italiano;insegna a guidare;insegna a leggere;insegna a scrivere;insegna l'italiano;insegna la storia;insegnare a leggere;insegnare a scrivere;insegnare con passione;insegnare il mestiere;insegnare l'italiano;insegnare la materia;insegnare le basi;insegnare un valore;insegnare una lingua,учить/преподавать/обучать
1805,rovinare,aver rovinato tutto;rovinare i piani;rovinare i rapporti;rovinare il clima;rovinare l'atmosfera;rovinare l'economia;rovinare la festa;rovinare la giornata;rovinare la reputazione;rovinare la sorpresa;rovinare un film;rovinato il vestito;rovinato la sorpresa,портить/разрушать/губить
1820,sbrigare,sbrigare il lavoro;sbrigare le commissioni;sbrigare le incombenze;sbrigare una faccenda;sbrigare una pratica,ускорять/решать/улаживать
1821,salire,sale il prezzo;sale l'ansia;sale l'umore;sale la temperatura;salire a bordo;salire di prezzo;salire in cima;salire in macchina;salire in soffitta;salire le scale;salire sul palco;salire sull'autobus;salire sulla vetta;salito a bordo;salito in macchina;salito le scale,подниматься/взбираться/заходить
1824,spiegare,aver spiegato tutto;ben spiegato;chiaramente spiegato;spiega il motivo;spiega la situazione;spiega tutto;spiegare bene;spiegare il motivo;spiegare il procedimento;spiegare la lezione;spiegare la situazione;spiegare le regole;spiegare tutto;spiegare un concetto;spiegare una teoria;spiegato nel dettaglio;spieghi tutto,объяснять/пояснять/разъяснять
1836,rilassare,atmosfera rilassante;rilassare i muscoli;rilassare la mente;rilassati completamente;rilassati profondamente,расслаблять/расслабиться/успокаивать
1855,sistemare,essere ben sistemato;sistemare gli oggetti;sistemare i capelli;sistemare i conti;sistemare il problema;sistemare l'agenda;sistemare la camera;sistemare la situazione;sistemare le cose;sistemare un errore;sistemato i capelli,устраивать/налаживать/размещать
1870,fottere,aver fottuto tutto;essere fotto male;essere fottuta;essere fottuto;farsi fottere;fottere il prossimo;fottere il sistema;fottere qualcuno;fottere tutto;rimanere fottuta;sentirsi fottuta;trovarsi fottuta,трахать/облажать/погубить
1873,cadere,cade in dimenticatoio;cade in piedi;cade in trappola;cadere a pezzi;cadere dimenticato;cadere in disgrazia;cadere in errore;cadere in tentazione;cadere in trappola;cadere nel vuoto;essere caduto in dimenticanza;essere caduto in errore;essere caduto in trappola,падать/упасть/выпадать
1879,camminare,cammina dritto;camminare a piedi;camminare insieme;camminare lentamente;camminare lungo il fiume;camminare nel bosco;camminare per strada;camminare sotto la pioggia;camminare sulla sabbia;camminare velocemente;camminare verso casa,идти пешком/гулять/шагать
1899,privare,essere privato di;privare del diritto;privare del sonno;privare della libertà;privare della vista;privare il corpo di nutrienti;privare l'uomo dei sensi;privare la pianta di acqua;privare qualcuno di tutto;privare un individuo di beni,лишать/отнимать/обделять
1910,accusare,accusa di frode;accusa di omicidio;accusare qualcuno;accusare un colpevole;accusato formalmente;accusato ingiustamente;accusato pubblicamente;essere accusato di;venire accusato di,обвинять/обвинить/осуждать
1927,mentere,continuare a mentire;mentendo apertamente;mentendo spudoratamente;mentire per difesa;mentire per paura;mentire senza motivo,лгать/врать/обманывать
1930,tradurre,tradurre fedelmente;tradurre in italiano;tradurre letteralmente;tradurre un discorso;tradurre un documento;tradurre un libro;tradurre un testo,переводить/перевести/толмачить
1940,minacciare,essere minacciato da;essere minacciato di;minacciare conseguenze gravi;minacciare l'incolumità;minacciare la libertà;minacciare la pace;minacciare la vita;sentirsi minacciato,угрожать/грозить/запугивать
1966,occupare,essere occupata;occupa il posto;occupa la mente;occupa lo spazio;occupa un ruolo;occupando il posto;occupando il tempo;occupando il territorio;occupando la posizione;occupare il centro città;occupare il tempo;occupare le strade;occupare un edificio;occupare un posto;occupare un ufficio;occupare una carica;occuparsi di tutto;occupi il tempo;occupi la posizione;occupi lo spazio;occupo il posto;occupo il tempo;occupo la posizione;occupo lo spazio;rimanere occupata;risultare occupata;si occupa di;tenere occupata;trovarsi occupata,занимать/занять/оккупировать
1979,scendere,scendere a piedi;scendere a valle;scendere al piano terra;scendere dall'auto;scendere dalla macchina;scendere di prezzo;scendere i gradini;scendere in campo;scendere in piazza;scendere le scale;scendi le scale,спускаться/сходить/понижаться
2002,ordinare,ordinare da asporto;ordinare gli oggetti;ordinare i documenti;ordinare i pensieri;ordinare il cibo;ordinare le stanze;ordinare un piatto;ordinato a domicilio,заказывать/приказывать/упорядочивать
2013,innamorare,essere innamorato;innamorare un cuore;innamorarsi a prima vista;innamorarsi di nuovo;innamorarsi di qualcuno;innamorarsi follemente;innamorarsi perdutamente;innamorarsi profondamente;innamorata di lui;rimanere innamorato,влюблять/влюбляться/очаровывать
2017,stancare,stancare eccessivamente;stancare i genitori;stancare il fisico;stancare la vista;stancarsi di aspettare;stancarsi di lavorare,утомлять/уставать/надоедать
2018,arrestare,arrestare il declino;arrestare il processo;arrestare il respiro;arrestare il traffico;arrestare l'emorragia;arrestare la corsa;arrestare la crescita;arrestare lo sviluppo;arrestare un criminale;arrestare un sospettato;arrestato in flagranza;venire arrestato,арестовывать/останавливать/задерживать
2035,maledire,apparire maledetto;diventare maledetto;essere maledetto;maledire il destino;maledire la sorte;maledire qualcuno;risultare maledetto;sentirsi maledetto,проклинать/проклясть/хулить
2049,mostrare,ha mostrato coraggio;ha mostrato disinteresse;ha mostrato interesse;ha mostrato segni;mostra coraggio;mostra disprezzo;mostra interesse;mostra orgoglio;mostra segni;mostrare disprezzo;mostrare i risultati;mostrare il percorso;mostrare interesse;mostrare la strada;mostrare le prove;mostrare pazienza;mostrare segni;mostrare un esempio,показывать/продемонстрировать/являть
2068,collegare,collega i cavi;collega i punti;collega il computer;collega l'account;collegare i circuiti;collegare i dati;collegare i due sistemi;collegare le diverse parti;collegare le idee;collegato al computer;collegato in rete;collegato via internet;essere collegato a;rimanere collegato;si collega a,связывать/соединять/подключать
2078,spaventare,apparire spaventata;apparire spaventato;essere rimasta spaventata;essere spaventato;restare spaventato;sembrare spaventata;sembrare spaventato;sentirsi spaventata;sentirsi spaventato;spaventare i passanti;spaventare qualcuno,пугать/испугать/напугать
2081,coinvolgere,coinvolgere attivamente;coinvolgere i cittadini;coinvolgere i giovani;coinvolgere il pubblico;coinvolgere l'elettorato;coinvolgere l'opinione pubblica;coinvolgere la comunità;coinvolgere la famiglia;coinvolgere le masse;coinvolgere qualcuno;coinvolto in un affare;coinvolto nel progetto;coinvolto nella discussione;essere coinvolti;essere coinvolto;rimanere coinvolti;sentirsi coinvolti;sentirsi coinvolto;trovarsi coinvolti;venire coinvolti,вовлекать/затрагивать/вмешивать
2087,girare,gira a destra;gira a sinistra;gira il mondo;gira la manopola;gira la testa;girando a vuoto;girando l'angolo;girando la pagina;girare a destra;girare a sinistra;girare i capelli;girare il motore;girare l'angolo;girare la chiave;girare la pagina;girare un film;girarsi dall'altra parte;girarsi indietro;girarsi verso;girato a destra;girato a sinistra;girato il film;girato l'angolo,поворачивать/крутить/снимать
2109,preparare,prepara il letto;prepara l'esame;prepara la cena;prepara la valigia;prepara un discorso;preparando il terreno;preparando la cena;preparando un discorso;preparare i dettagli;preparare il letto;preparare il terreno;preparare la cena;preparare la valigia;preparare un discorso;preparare un dossier;preparare un esame;preparare un piano;preparare una strategia;preparo la cena;preparo la colazione;preparo le valigie;preparo un discorso,готовить/подготавливать/приготавливать
2114,cantare,cantare a squarciagola;cantare con passione;cantare dal vivo;cantare in coro;cantare l'inno;cantare l'opera;cantare sotto la doccia;cantare un ritornello;cantare una canzone,петь/запеть/распевать
2118,invitare,essere invitata a;essere invitati a;invitare a cena;invitare alla calma;invitare formalmente;invitare gli ospiti;invitato a cena;invitato a partecipare;invitato formalmente;invitato sul palco;sentirsi invitata;un invito ufficiale,приглашать/пригласить/звать
2120,regolare,regola il ritmo;regola il traffico;regola il volume;regola l'orario;regola la temperatura;regolare i conti;regolare il comportamento;regolare il flusso;regolare il prezzo;regolare il volume;regolare l'orologio;regolare la pressione;regolare la temperatura;regolare la tensione;regolare la velocità,регулировать/настраивать/упорядочивать
2152,offrire,offerto aiuto;offerto un caffè;offerto un lavoro;offerto un passaggio;offerto uno sconto;offre aiuto;offre l'opportunità;offre lavoro;offre un caffè;offre una garanzia;offrire aiuto;offrire ospitalità;offrire resistenza;offrire un caffè;offrire un drink;offrire un incentivo;offrire un pretesto;offrire una soluzione;offrire una spiegazione,предлагать/предложить/угощать
2154,apprezzare,apprezzare il valore;apprezzare l'opera;apprezzare la qualità;apprezzo il gesto;apprezzo l'aiuto;apprezzo l'impegno;apprezzo la sincerità;essere molto apprezzato;saper apprezzare,ценить/оценивать/признавать
2155,discutere,ampiamente discusso;discutere apertamente;discutere di tutto;discutere i dettagli;discutere i termini;discutere il progetto;discutere l'argomento;discutere la proposta;discutere le condizioni;discutere un problema;discutere una questione;essere discusso apertamente;molto discusso,обсуждать/дискутировать/спорить
2157,gestire,gestire i clienti;gestire il tempo;gestire l'azienda;gestire le risorse;gestire lo stress;gestire un budget;gestire un conflitto;gestire un progetto;gestire un ufficio;gestire una crisi,управлять/руководить/заведовать
2173,tirare,tira avanti;tira dritto;tira fuori;tira giù;tirare dritto;tirare fuori;tirare giù;tirare i remi;tirare la corda;tirare le somme;tirare su;tirare un colpo;tirare un sospiro;tirato avanti;tirato fuori;tirato giù,тянуть/тащить/вытягивать
2181,accadere,accade di nuovo;accade improvvisamente;accadere contemporaneamente;accadere di nuovo;accadere improvvisamente;accadere per caso;far accadere,случаться/происходить/произойти
2184,crescere,crescere a vista d'occhio;crescere bene;crescere costantemente;crescere insieme;crescere rapidamente;crescere sani;crescere velocemente;cresciuta bene;crescono i prezzi;far crescere;la crescita economica;una crescita esponenziale,расти/выращивать/увеличиваться
2209,unire,apparire unita;apparire unito;essere unita;essere unito;restare unita;restare unito;rimanere unito;sentirsi unita;sentirsi unito;trovarsi unita;unire gli sforzi;unire i mondi;unire i puntini;unire le forze;unire le parti,объединять/соединять/сливать
2212,scomparire,essere scomparso dalla circolazione;essere scomparso nel nulla;scomparire dai radar;scomparire dal radar;scomparire dalla scena;scomparire dalla vista;scomparire tra la folla,исчезать/пропадать
2216,commettere,aver commesso un crimine;aver commesso un errore;aver commesso un peccato;aver commesso un reato;aver commesso una frode;commettere un abuso;commettere un atto;commettere un illecito;commettere un misfatto;commettere un'infrazione,совершать/допускать
2235,sopravvivere,sopravvivere a stento;sopravvivere a tutto;sopravvivere a un incidente;sopravvivere al freddo;sopravvivere all'incendio;sopravvivere alla fame;sopravvivere alla guerra;sopravvivere alla malattia;sopravvivere alle difficoltà;sopravvivere miracolosamente,выживать/пережить
2252,presentare,presentano i risultati;presentano l'istanza;presentano un problema;presentare le scuse;presentare qualcuno;presentare un candidato;presentare un documento;presentare un progetto;presentare un sospetto;presentare un'idea;presentare un'offerta;presentare una domanda;presentato a qualcuno;presentato il progetto;presentato le dimissioni;presentato un reclamo;presento un progetto;presento una domanda,представлять/подавать/знакомить
2269,dirigere,dirigere i lavori;dirigere il traffico;dirigere l'orchestra;dirigere le operazioni;dirigere lo sviluppo;dirigere un progetto;dirigere un reparto;dirigere un'azienda;dirigere una società,направлять/руководить/дирижировать
2290,costruire,ben costruito;costruire un edificio;costruire un futuro;costruire un impero;costruire un modello;costruire un ponte;costruire un progetto;costruire un rapporto;costruire un'impresa;costruire una carriera;costruire una casa;costruito a mano;costruito su misura;male costruito,строить/создавать/возводить
2303,raggiungere,raggiungere il limite;raggiungere il successo;raggiungere l'obiettivo;raggiungere la maturità;raggiungere la meta;raggiungere la pensione;raggiungere la velocità;raggiungere la vetta;raggiungere un accordo;raggiungere un traguardo;raggiunto il limite;raggiunto il traguardo;raggiunto l'obiettivo;raggiunto un accordo;raggiunto un compromesso,достигать/догонять/добиваться
2331,svegliare,essersi svegliato di soprassalto;svegliare i vicini;svegliare il bambino;svegliare la città;svegliati di scatto,будить/пробуждать
2352,volare,cominciare a volare;vola alto;vola basso;volare alto;volare basso;volare lontano;volare tra le nuvole;volare via,летать/лететь
2358,raccontare,aver raccontato tutto;raccontare avventure;raccontare bugie;raccontare fatti;raccontare la verità;raccontare segreti;raccontare sogni;raccontare tutto;raccontare una storia;racconto i fatti;racconto un aneddoto;racconto una storia,рассказывать/поведать
2378,stomacare,,надоедать/тошнить/вызывать отвращение
2380,licenziare,essere licenziata improvvisamente;essere licenziata ingiustamente;essere licenziata per giusta causa;essere licenziato;essere licenziato dal lavoro;essere licenziato ingiustamente;essere licenziato per giusta causa;licenziamento collettivo;licenziare in massa;licenziare ingiustamente;licenziare per motivi economici;licenziare senza giusta causa;licenziare un dipendente;venire licenziata;venire licenziato,увольнять/уволить
2386,meritare,merita attenzione;merita considerazione;merita fiducia;merita rispetto;meritare di vincere;meritare il perdono;meritare un applauso;meritare un premio;meritare una punizione,заслуживать/стоить
2389,capitare,capitare inaspettatamente;è capitato un errore,случаться/происходить/попадаться
2393,dannare,dannare l'anima;dannare qualcuno all'inferno;diventare dannato;essere dannato;restare dannato;sentirsi dannato,проклинать/обрекать/осуждать
2405,sospettare,essere fortemente sospettato;essere sospettato di;sospettare il tradimento;sospettare l'inganno;sospettare un complotto;sospettare un crimine;sospettare una truffa;venire sospettato di,подозревать/сомневаться
2414,studiare,ben studiato;studiare a memoria;studiare con impegno;studiare diritto;studiare i testi;studiare l'italiano;studiare la materia;studiare medicina;studiare ogni dettaglio;studiare per un esame;studiare sodo;studiato a fondo;studiato attentamente;studiato per bene,учить/изучать/учиться
2422,bloccare,bloccare i fondi;bloccare il meccanismo;bloccare il respiro;bloccare il traffico;bloccare l'account;bloccare la produzione;bloccare le procedure;bloccare lo sviluppo;essere bloccata;essere bloccati;essere bloccato;restare bloccata;restare bloccati;rimanere bloccata;rimanere bloccati;rimanere bloccato;sentirsi bloccata;sentirsi bloccati;trovarsi bloccata;trovarsi bloccati,блокировать/останавливать/замораживать
2429,togliere,aver tolto il disturbo;aver tolto il dubbio;aver tolto il velo;togli di mezzo;togli il cappello;togli il disturbo;togli il dubbio;togli le scarpe;togliere di mezzo;togliere i vestiti;togliere il disturbo;togliere il dubbio;togliere il peso;togliere il respiro;togliere il superfluo;togliere il velo;togliere la maschera;togliere ogni dubbio,снимать/убирать/отнимать
2456,respirare,difficoltà a respirare;faticare a respirare;imparare a respirare;respira a pieni polmoni;respira con calma;respira profondamente;respira regolarmente;respirare a pieni polmoni;respirare l'aria;respirare l'ossigeno;respirare profondamente;respirare sott'acqua,дышать
2464,proporre,proporre un accordo;proporre un affare;proporre un cambiamento;proporre un candidato;proporre un piano;proporre un sospetto;proporre un termine;proporre un'idea;proporre una sfida;proporre una soluzione,предлагать/выдвигать
2467,cazzare,dire cazzate;dire un sacco di cazzate;fare cazzate;non tollero cazzate;raccontare cazzate;scrivere cazzate;sentire troppe cazzate;sparare cazzate;stoppare le cazzate,говорить чушь/косячить/трепаться
2496,tentare,tentare l'impresa;tentare la fortuna;tentare la resistenza;tentare la via;tentare un approccio;tentare una strada,пытаться/испытывать/соблазнять
2497,sorprendere,essere rimasto sorpreso;sentirsi sorpreso;sorprende tutti;sorprendere il pubblico;sorprendere l'avversario,удивлять/застать врасплох/поражать
2524,assumere,assumere la responsabilità;assumere personale;assumere potere;assumere un atteggiamento;assumere un farmaco;assumere un impegno;assumere un rischio;assumere una posizione;ha assunto il comando;ha assunto l'aspetto;ha assunto un impegno;ha assunto un ruolo;ha assunto una forma,принимать/брать на себя/нанимать
2533,tagliare,tagliare corto;tagliare i capelli;tagliare i ponti;tagliare i rami;tagliare il nastro;tagliare la carne;tagliare la carta;tagliare le spese;tagliato a metà;tagliato a pezzi;tagliato corto;tagliato netto,резать/отрезать/сокращать
2573,costringere,costringere al silenzio;costringere alla fuga;costringere qualcuno;essere costretto a;trovarsi costretto a,заставлять/принуждать
2583,appartenere,appartiene al gruppo;appartiene alla categoria,принадлежать/относиться
2603,malare,apparire malata;diventare malata;essere malata;restare malata;rimanere malata;sentirsi malata,болеть/хворать
2604,dimostrare,aver dimostrato l'efficacia;dimostra coraggio;dimostra interesse;dimostra l'efficacia;dimostra un impegno;dimostrare il contrario;dimostrare il valore;dimostrare l'efficacia;dimostrare l'interesse;dimostrare la validità;dimostrare la verità;dimostrare le proprie capacità;dimostrare un talento;dimostrare una certa superiorità;dimostrato ampiamente;dimostrato l'interesse,доказывать/демонстрировать/показывать
2606,tradire,aver tradito la fiducia;sentirsi tradito;tradire l'amante;tradire la patria;tradire un amico;tradire un segreto;tradire una promessa;tradito i suoi principi;tradito il partner,предавать/изменять/выдавать
2609,impegnare,essere impegnata;essere molto impegnato;impegnare grosse somme;impegnare il capitale;impegnare la difesa;impegnare le forze;impegnare tutto il tempo;impegnarsi nel lavoro;rimanere impegnata;risultare impegnata;sentirsi impegnata;trovarsi impegnata,занимать/обязывать/заложить
2643,festeggiare,festeggiare con entusiasmo;festeggiare degnamente;festeggiare il compleanno;festeggiare il natale;festeggiare in grande stile;festeggiare insieme;festeggiare l'anniversario;festeggiare un successo;festeggiare un traguardo;festeggiare una vittoria,праздновать/отмечать
2644,indovinare,indovina il numero;indovina l'enigma;indovina la risposta;indovinare il colpevole;indovinare il finale;indovinare il futuro;indovinare il numero;indovinare il segreto;indovinare l'enigma;indovinare la data;indovinare la risposta;indovinare la verità,угадывать/отгадывать/догадываться
2646,attaccare,attaccare a testa bassa;attaccare bottone;attaccare il nemico;attaccare un bottone;attaccare un discorso;attaccare un file;attaccare un virus;attaccato al muro;essere attaccato a;rimanere attaccato a,атаковать/прикреплять/приклеивать
2678,firmare,firmare la delega;firmare un accordo;firmare un assegno;firmare un autografo;firmare un contratto;firmare un decreto;firmare un documento;firmare un trattato;firmare una lettera;firmare una petizione;firmato il contratto;firmato il modulo;firmato l'accordo;firmato un documento,подписывать/ставить подпись
2703,sparire,completamente sparito;far sparire;sparire all'improvviso;sparire dai radar;sparire dal radar;sparire dalla circolazione;sparire dalla memoria;sparire dalla vista;sparire nel buio;sparire nel nulla;sparire tra la folla;sparito all'improvviso;sparito dalla circolazione;sparito nel nulla;è sparita dalla circolazione;è sparita di vista;è sparita nel nulla,исчезать/пропадать
2706,fuggire,compiere una fuga;fuggire a gambe levate;fuggire i propri doveri;fuggire la realtà;fuggire lontano;fuggire via,бежать/убегать/спасаться
2708,puntare,puntare al successo;puntare all'essenziale;puntare alla qualità;puntare alla vittoria;puntare i piedi;puntare il dito;puntare il mirino;puntare l'obiettivo;puntare la pistola;puntare un riflettore,целиться/направлять/нацеливаться
2741,fallire,aver fallito il tentativo;aver fallito l'objective;aver fallito miseramente;fallire un affare;fallire un colpo;fallire un esame;un piano fallito;un progetto fallito,терпеть неудачу/проваливаться/разоряться
2742,indossare,indossa gli occhiali;indossa i vestiti;indossa un abito;indossa una maschera;indossare abbigliamento formale;indossare capi pregiati;indossare con cura;indossare con eleganza;indossare divise ufficiali;indossare gli occhiali;indossare i vestiti;indossare le scarpe;indossare un abito;indossare un gioiello;indossava i vestiti;indossava un abito;indossi i vestiti;indossi un abito,надевать/носить/одевать
2770,superare,superare i pregiudizi;superare la concorrenza;superare la paura;superare la resistenza;superare la soglia;superare le aspettative;superare un esame;superare un limite;superare un ostacolo;superare una prova;superato un ostacolo,преодолевать/проходить/превышать
2776,sopportare,non sopportare qualcuno;sopportare il dolore;sopportare il peso;sopportare la fatica;sopportare le conseguenze;sopportare un disagio;sopportare un insulto;sopportare un trattamento;sopportare una critica,терпеть/выносить/сносить
2787,divertire,divertire i bambini;divertire il pubblico;divertirsi un po;divertiti un mondo;far divertire qualcuno;si diverte un mondo,развлекать/забавлять/веселиться
2790,muovere,muove la testa;muove le mani;muove un passo;muovere critiche;muovere fondi;muovere guerra;muovere i primi passi;muovere l'opinione pubblica;muovere la testa;muovere le acque;muovere un dito;muovere un passo;muovi i muscoli;muovi il sedere;muovi la testa;muovi le gambe;muovi un passo;si muove a fatica,двигать/шевелить/побуждать
2794,buttare,buttare giù;buttare il sasso;buttare l'occhio;buttare la moneta;buttare la spazzatura;buttare un insulto;buttare via;buttato a perdere;buttato fuori;buttato giù,бросать/выбрасывать/швырять
2807,riposare,andare a riposare;riposare gli occhi;riposare il corpo;riposare in pace;riposare la mente;riposare le gambe;riposare profondamente;riposare serenamente;riposare un attimo,отдыхать/покоиться
2828,impazzire,essere completamente impazzito;far impazzire;impazzire dal dolore;impazzire dalla rabbia;impazzire di gioia;impazzire per qualcuno;sembrare impazzito;stare per impazzire,сходить с ума/безумствовать
2832,causare,causare confusione;causare danni;causare disagi;causare dolore;causare malfunzionamenti;causare preoccupazione;causare problemi;causare ritardi;causare scompiglio;causare un incidente;ha causato danni;ha causato polemiche;ha causato problemi,вызывать/причинять/порождать
2873,beccare,becca il colpevole;becca l'errore;becca qualcuno;beccare un amico;beccare un colpo;beccare un uccello;beccare una multa;beccato a mentire;beccato sul fatto;essere beccati in fallo;essere beccato;farsi beccato,клевать/поймать/получить
2899,ripetere,ripetere a memoria;ripetere i passaggi;ripetere il gesto;ripetere l'operazione;ripetere le parole;ripetere lo stesso errore;ripetere un esame;ripetere un esperimento;ripetere una canzone;ripetere una frase;ripeto a voce alta;ripeto il concetto;ripeto l'operazione;ripeto la domanda;ripeto lo stesso errore,повторять/дублировать
2902,trattare,essere trattato bene;essere trattato con cura;essere trattato ingiustamente;essere trattato male;trattare bene;trattare con cautela;trattare con rispetto;trattare i dati;trattare l'argomento;trattare male;trattare un argomento;trattare un problema;trattare un tema;trattare una questione;trattava il paziente;trattava l'argomento;trattava la questione,обращаться/лечить/обсуждать
2905,figurare,fare bella figura;fare brutta figura;fare figura;figurare in elenco;figurare nei documenti;figurare nel registro;figurare tra gli invitati;figurare tra i primi,фигурировать/значиться/казаться
2933,sorgere,sorge il sole;sorge l'alba;sorge un conflitto;sorge un dubbio;sorge un problema;sorge un sospetto;sorge una nuova sfida;sorgere una domanda,всходить/возникать/подниматься
2935,ammettere,ammesso al concorso;ammesso all'esame;ammettere di avere torto;ammettere il fatto;ammettere l'errore;ammettere l'esistenza;ammettere l'ingresso;ammettere l'ipotesi;ammettere la colpa;ammettere la verità;ammettere una possibilità;ammetto l'errore;essere ammesso;venire ammesso,признавать/допускать/принимать
2938,pulire,pulire a fondo;pulire i capelli;pulire i denti;pulire i vetri;pulire il pavimento;pulire la casa;pulire la cucina;pulire la scrivania;pulire le scarpe,чистить/убирать/мыть
