Verb Conjugation A1 Italian (Drill)
я устал (essere stanco);Io sono stanco.
я верю, что они уже смотрели телевизор (guardare la tv);Io credo che loro abbiano guardato la tv.
я нахожу решение (trovare una soluzione);Io trovo una soluzione.
ты находишь решение (trovare una soluzione);Tu trovi una soluzione.
он находит решение (trovare una soluzione);Lui trova una soluzione.
она находит решение (trovare una soluzione);Lei trova una soluzione.
мы находим решение (trovare una soluzione);Noi troviamo una soluzione.
вы находите решение (trovare una soluzione);Voi trovate una soluzione.
они находят решение (trovare una soluzione);Loro trovano una soluzione.
я находил решение (trovare una soluzione);Io trovavo una soluzione.
ты находил решение (trovare una soluzione);Tu trovavi una soluzione.
он находил решение (trovare una soluzione);Lui trovava una soluzione.
она находила решение (trovare una soluzione);Lei trovava una soluzione.
мы находили решение (trovare una soluzione);Noi trovavamo una soluzione.
вы находили решение (trovare una soluzione);Voi trovavate una soluzione.
они находили решение (trovare una soluzione);Loro trovavano una soluzione.
я нашел решение (trovare una soluzione);Io trovai una soluzione.
ты нашел решение (trovare una soluzione);Tu trovasti una soluzione.
он нашел решение (trovare una soluzione);Lui trovò una soluzione.
она нашла решение (trovare una soluzione);Lei trovò una soluzione.
мы нашли решение (trovare una soluzione);Noi trovammo una soluzione.
вы нашли решение (trovare una soluzione);Voi trovaste una soluzione.
они нашли решение (trovare una soluzione);Loro trovarono una soluzione.
я нашел решение (trovare una soluzione);Io ho trovato una soluzione.
ты нашел решение (trovare una soluzione);Tu hai trovato una soluzione.
он нашел решение (trovare una soluzione);Lui ha trovato una soluzione.
она нашла решение (trovare una soluzione);Lei ha trovato una soluzione.
мы нашли решение (trovare una soluzione);Noi abbiamo trovato una soluzione.
вы нашли решение (trovare una soluzione);Voi avete trovato una soluzione.
они нашли решение (trovare una soluzione);Loro hanno trovato una soluzione.
я уже нашел решение (trovare una soluzione);Io avevo trovato una soluzione.
ты уже нашел решение (trovare una soluzione);Tu avevi trovato una soluzione.
он уже нашел решение (trovare una soluzione);Lui aveva trovato una soluzione.
она уже нашла решение (trovare una soluzione);Lei aveva trovato una soluzione.
мы уже нашли решение (trovare una soluzione);Noi avevamo trovato una soluzione.
вы уже нашли решение (trovare una soluzione);Voi avevate trovato una soluzione.
они уже нашли решение (trovare una soluzione);Loro avevano trovato una soluzione.
я найду решение (trovare una soluzione);Io troverò una soluzione.
ты найдешь решение (trovare una soluzione);Tu troverai una soluzione.
он найдет решение (trovare una soluzione);Lui troverà una soluzione.
она найдет решение (trovare una soluzione);Lei troverà una soluzione.
мы найдем решение (trovare una soluzione);Noi troveremo una soluzione.
вы найдете решение (trovare una soluzione);Voi troverete una soluzione.
они найдут решение (trovare una soluzione);Loro troveranno una soluzione.
я уже найду решение (trovare una soluzione);Io avrò trovato una soluzione.
ты уже найдешь решение (trovare una soluzione);Tu avrai trovato una soluzione.
он уже найдет решение (trovare una soluzione);Lui avrà trovato una soluzione.
она уже найдет решение (trovare una soluzione);Lei avrà trovato una soluzione.
мы уже найдем решение (trovare una soluzione);Noi avremo trovato una soluzione.
вы уже найдете решение (trovare una soluzione);Voi avrete trovato una soluzione.
они уже найдут решение (trovare una soluzione);Loro avranno trovato una soluzione.
я бы нашел решение (trovare una soluzione);Io troverei una soluzione.
ты бы нашел решение (trovare una soluzione);Tu troveresti una soluzione.
он бы нашел решение (trovare una soluzione);Lui troverebbe una soluzione.
она бы нашла решение (trovare una soluzione);Lei troverebbe una soluzione.
мы бы нашли решение (trovare una soluzione);Noi troveremmo una soluzione.
вы бы нашли решение (trovare una soluzione);Voi trovereste una soluzione.
они бы нашли решение (trovare una soluzione);Loro troverebbero una soluzione.
я бы нашел решение (trovare una soluzione);Io avrei trovato una soluzione.
ты бы нашел решение (trovare una soluzione);Tu avresti trovato una soluzione.
он бы нашел решение (trovare una soluzione);Lui avrebbe trovato una soluzione.
она бы нашла решение (trovare una soluzione);Lei avrebbe trovato una soluzione.
мы бы нашли решение (trovare una soluzione);Noi avremmo trovato una soluzione.
вы бы нашли решение (trovare una soluzione);Voi avreste trovato una soluzione.
они бы нашли решение (trovare una soluzione);Loro avrebbero trovato una soluzione.
она хочет, чтобы я нашел решение (trovare una soluzione);Lei vuole che io trovi una soluzione.
он надеется, что ты найдешь решение (trovare una soluzione);Lui spera che tu trovi una soluzione.
я думаю, что он найдет решение (trovare una soluzione);Io penso che lui trovi una soluzione.
мы верим, что она найдет решение (trovare una soluzione);Noi crediamo che lei trovi una soluzione.
ты думаешь, что мы найдем решение (trovare una soluzione);Tu pensi che noi troviamo una soluzione.
я верю, что вы найдете решение (trovare una soluzione);Io credo che voi troviate una soluzione.
он хочет, чтобы они нашли решение (trovare una soluzione);Lui vuole che loro trovino una soluzione.
он хотел, чтобы я нашел решение (trovare una soluzione);Lui voleva che io trovassi una soluzione.
она надеялась, что ты найдешь решение (trovare una soluzione);Lei sperava che tu trovassi una soluzione.
я думал, что он найдет решение (trovare una soluzione);Io pensavo che lui trovasse una soluzione.
мы верили, что она найдет решение (trovare una soluzione);Noi credevamo che lei trovasse una soluzione.
они боялись, что мы найдем решение (trovare una soluzione);Loro temevano che noi trovassimo una soluzione.
я хотел, чтобы вы нашли решение (trovare una soluzione);Io volevo che voi trovaste una soluzione.
он думал, что они найдут решение (trovare una soluzione);Lui pensava che loro trovassero una soluzione.
она думает, что я уже нашел решение (trovare una soluzione);Lei pensa che io abbia trovato una soluzione.
он надеется, что ты уже нашел решение (trovare una soluzione);Lui spera che tu abbia trovato una soluzione.
я думаю, что он уже нашел решение (trovare una soluzione);Io penso che lui abbia trovato una soluzione.
мы верим, что она уже нашла решение (trovare una soluzione);Noi crediamo che lei abbia trovato una soluzione.
ты сомневаешься, что мы уже нашли решение (trovare una soluzione);Tu dubiti che noi abbiamo trovato una soluzione.
я полагаю, что вы уже нашли решение (trovare una soluzione);Io suppongo che voi abbiate trovato una soluzione.
она думает, что они уже нашли решение (trovare una soluzione);Lei pensa che loro abbiano trovato una soluzione.
я пью кофе (prendere un caffè);Io prendo un caffè.
ты пьешь кофе (prendere un caffè);Tu prendi un caffè.
он пьет кофе (prendere un caffè);Lui prende un caffè.
она пьет кофе (prendere un caffè);Lei prende un caffè.
мы пьем кофе (prendere un caffè);Noi prendiamo un caffè.
вы пьете кофе (prendere un caffè);Voi prendete un caffè.
они пьют кофе (prendere un caffè);Loro prendono un caffè.
я пил кофе (prendere un caffè);Io prendevo un caffè.
ты пил кофе (prendere un caffè);Tu prendevi un caffè.
он пил кофе (prendere un caffè);Lui prendeva un caffè.
она пила кофе (prendere un caffè);Lei prendeva un caffè.
мы пили кофе (prendere un caffè);Noi prendevamo un caffè.
вы пили кофе (prendere un caffè);Voi prendevate un caffè.
они пили кофе (prendere un caffè);Loro prendevano un caffè.
я выпил кофе (prendere un caffè);Io presi un caffè.
ты выпил кофе (prendere un caffè);Tu prendesti un caffè.
он выпил кофе (prendere un caffè);Lui prese un caffè.
она выпила кофе (prendere un caffè);Lei prese un caffè.
мы выпили кофе (prendere un caffè);Noi prendemmo un caffè.
вы выпили кофе (prendere un caffè);Voi prendeste un caffè.
они выпили кофе (prendere un caffè);Loro presero un caffè.
я выпил кофе (prendere un caffè);Io ho preso un caffè.
ты выпил кофе (prendere un caffè);Tu hai preso un caffè.
он выпил кофе (prendere un caffè);Lui ha preso un caffè.
она выпила кофе (prendere un caffè);Lei ha preso un caffè.
мы выпили кофе (prendere un caffè);Noi abbiamo preso un caffè.
вы выпили кофе (prendere un caffè);Voi avete preso un caffè.
они выпили кофе (prendere un caffè);Loro hanno preso un caffè.
я уже выпил кофе (prendere un caffè);Io avevo preso un caffè.
ты уже выпил кофе (prendere un caffè);Tu avevi preso un caffè.
он уже выпил кофе (prendere un caffè);Lui aveva preso un caffè.
она уже выпила кофе (prendere un caffè);Lei aveva preso un caffè.
мы уже выпили кофе (prendere un caffè);Noi avevamo preso un caffè.
вы уже выпили кофе (prendere un caffè);Voi avevate preso un caffè.
они уже выпили кофе (prendere un caffè);Loro avevano preso un caffè.
я выпью кофе (prendere un caffè);Io prenderò un caffè.
ты выпьешь кофе (prendere un caffè);Tu prenderai un caffè.
он выпьет кофе (prendere un caffè);Lui prenderà un caffè.
она выпьет кофе (prendere un caffè);Lei prenderà un caffè.
мы выпьем кофе (prendere un caffè);Noi prenderemo un caffè.
вы выпьете кофе (prendere un caffè);Voi prenderete un caffè.
они выпьют кофе (prendere un caffè);Loro prenderanno un caffè.
я уже успею выпить кофе (prendere un caffè);Io avrò preso un caffè.
ты уже успеешь выпить кофе (prendere un caffè);Tu avrai preso un caffè.
он уже успеет выпить кофе (prendere un caffè);Lui avrà preso un caffè.
она уже успеет выпить кофе (prendere un caffè);Lei avrà preso un caffè.
мы уже успеем выпить кофе (prendere un caffè);Noi avremo preso un caffè.
вы уже успеете выпить кофе (prendere un caffè);Voi avrete preso un caffè.
они уже успеют выпить кофе (prendere un caffè);Loro avranno preso un caffè.
я бы выпил кофе (prendere un caffè);Io prenderei un caffè.
ты бы выпил кофе (prendere un caffè);Tu prenderesti un caffè.
он бы выпил кофе (prendere un caffè);Lui prenderebbe un caffè.
она бы выпила кофе (prendere un caffè);Lei prenderebbe un caffè.
мы бы выпили кофе (prendere un caffè);Noi prenderemmo un caffè.
вы бы выпили кофе (prendere un caffè);Voi prendereste un caffè.
они бы выпили кофе (prendere un caffè);Loro prenderebbero un caffè.
я бы выпил кофе (prendere un caffè);Io avrei preso un caffè.
ты бы выпил кофе (prendere un caffè);Tu avresti preso un caffè.
он бы выпил кофе (prendere un caffè);Lui avrebbe preso un caffè.
она бы выпила кофе (prendere un caffè);Lei avrebbe preso un caffè.
мы бы выпили кофе (prendere un caffè);Noi avremmo preso un caffè.
вы бы выпили кофе (prendere un caffè);Voi avreste preso un caffè.
они бы выпили кофе (prendere un caffè);Loro avrebbero preso un caffè.
она хочет, чтобы я выпил кофе (prendere un caffè);Lei vuole che io prenda un caffè.
он хочет, чтобы ты выпил кофе (prendere un caffè);Lui vuole che tu prenda un caffè.
я думаю, что он выпьет кофе (prendere un caffè);Io penso che lui prenda un caffè.
я думаю, что она выпьет кофе (prendere un caffè);Io penso che lei prenda un caffè.
я надеюсь, что мы выпьем кофе (prendere un caffè);Io spero che noi prendiamo un caffè.
я думаю, что вы выпьете кофе (prendere un caffè);Io penso che voi prendiate un caffè.
я надеюсь, что они выпьют кофе (prendere un caffè);Io spero che loro prendano un caffè.
она хотела, чтобы я выпил кофе (prendere un caffè);Lei voleva che io prendessi un caffè.
он хотел, чтобы ты выпил кофе (prendere un caffè);Lui voleva che tu prendessi un caffè.
я думал, что он выпьет кофе (prendere un caffè);Io pensavo che lui prendesse un caffè.
мы надеялись, что она выпьет кофе (prendere un caffè);Noi speravamo che lei prendesse un caffè.
они хотели, чтобы мы выпили кофе (prendere un caffè);Loro volevano che noi prendessimo un caffè.
я верил, что вы выпьете кофе (prendere un caffè);Io credevo che voi prendeste un caffè.
мама думала, что они выпьют кофе (prendere un caffè);La mamma pensava che loro prendessero un caffè.
он думает, что я уже выпил кофе (prendere un caffè);Lui pensa che io abbia preso un caffè.
она надеется, что ты уже выпил кофе (prendere un caffè);Lei spera che tu abbia preso un caffè.
я верю, что он уже выпил кофе (prendere un caffè);Io credo che lui abbia preso un caffè.
мы сомневаемся, что она уже выпила кофе (prendere un caffè);Noi dubitiamo che lei abbia preso un caffè.
они думают, что мы уже выпили кофе (prendere un caffè);Loro pensano che noi abbiamo preso un caffè.
я верю, что вы уже выпили кофе (prendere un caffè);Io credo che voi abbiate preso un caffè.
он надеется, что они уже выпили кофе (prendere un caffè);Lui spera che loro abbiano preso un caffè.
мне достаточно одного слова (bastare una parola);Io basto con una parola.
тебе достаточно одного слова (bastare una parola);Tu basti con una parola.
ему достаточно одного слова (bastare una parola);Lui basta con una parola.
ей достаточно одного слова (bastare una parola);Lei basta con una parola.
нам достаточно одного слова (bastare una parola);Noi bastiamo con una parola.
вам достаточно одного слова (bastare una parola);Voi bastate con una parola.
им достаточно одного слова (bastare una parola);Loro bastano con una parola.
мне хватало одного слова (bastare una parola);Io bastavo una parola.
тебе хватало одного слова (bastare una parola);Tu bastavi una parola.
ему хватало одного слова (bastare una parola);Lui bastava una parola.
ей хватало одного слова (bastare una parola);Lei bastava una parola.
нам хватало одного слова (bastare una parola);Noi bastavamo una parola.
вам хватало одного слова (bastare una parola);Voi bastavate una parola.
им хватало одного слова (bastare una parola);Loro bastavano una parola.
мне хватило одного слова (bastare una parola);Io bastai con una parola.
тебе хватило одного слова (bastare una parola);Tu bastasti con una parola.
ему хватило одного слова (bastare una parola);Lui bastò con una parola.
ей хватило одного слова (bastare una parola);Lei bastò con una parola.
нам хватило одного слова (bastare una parola);Noi bastammo con una parola.
вам хватило одного слова (bastare una parola);Voi bastaste con una parola.
им хватило одного слова (bastare una parola);Loro bastarono con una parola.
мне хватило мгновения (un attimo);Io sono bastato un attimo.
тебе хватило мгновения (un attimo);Tu sei bastato un attimo.
ему хватило мгновения (un attimo);Lui è bastato un attimo.
ей хватило мгновения (un attimo);Lei è bastata un attimo.
нам хватило мгновения (un attimo);Noi siamo bastati un attimo.
вам хватило мгновения (un attimo);Voi siete bastati un attimo.
им хватило мгновения (un attimo);Loro sono bastati un attimo.
мне уже было достаточно одного мгновения (bastare un attimo);Io ero bastato un attimo.
тебе уже было достаточно одного мгновения (bastare un attimo);Tu eri bastato un attimo.
ему уже было достаточно одного мгновения (bastare un attimo);Lui era bastato un attimo.
ей уже было достаточно одного мгновения (bastare un attimo);Lei era bastata un attimo.
нам уже было достаточно одного мгновения (bastare un attimo);Noi eravamo bastati un attimo.
вам уже было достаточно одного мгновения (bastare un attimo);Voi eravate bastati un attimo.
им уже было достаточно одного мгновения (bastare un attimo);Loro erano bastati un attimo.
мне хватит одного слова (una parola);Io basterò con una parola.
тебе хватит одного слова (una parola);Tu basterai con una parola.
ему хватит одного слова (una parola);Lui basterà con una parola.
ей хватит одного слова (una parola);Lei basterà con una parola.
нам хватит одного слова (una parola);Noi basteremo con una parola.
вам хватит одного слова (una parola);Voi basterete con una parola.
им хватит одного слова (una parola);Loro basteranno con una parola.
мне будет достаточно одного мгновения (bastare un attimo);Io sarò bastato un attimo.
тебе будет достаточно одного мгновения (bastare un attimo);Tu sarai bastato un attimo.
ему будет достаточно одного мгновения (bastare un attimo);Lui sarà bastato un attimo.
ей будет достаточно одного мгновения (bastare un attimo);Lei sarà bastata un attimo.
нам будет достаточно одного мгновения (bastare un attimo);Noi saremo bastati un attimo.
вам будет достаточно одного мгновения (bastare un attimo);Voi sarete bastati un attimo.
им будет достаточно одного мгновения (bastare un attimo);Loro saranno bastati un attimo.
мне бы хватило мгновения (un attimo);Io basterei un attimo.
тебе бы хватило мгновения (un attimo);Tu basteresti un attimo.
ему бы хватило мгновения (un attimo);Lui basterebbe un attimo.
ей бы хватило мгновения (un attimo);Lei basterebbe un attimo.
нам бы хватило мгновения (un attimo);Noi basteremmo un attimo.
вам бы хватило мгновения (un attimo);Voi bastereste un attimo.
им бы хватило мгновения (un attimo);Loro basterebbero un attimo.
мне бы хватило мгновения (un attimo);Io sarei bastato un attimo.
тебе бы хватило мгновения (un attimo);Tu saresti bastato un attimo.
ему бы хватило мгновения (un attimo);Lui sarebbe bastato un attimo.
ей бы хватило мгновения (un attimo);Lei sarebbe bastata un attimo.
нам бы хватило мгновения (un attimo);Noi saremmo bastati un attimo.
вам бы хватило мгновения (un attimo);Voi sareste bastati un attimo.
им бы хватило мгновения (un attimo);Loro sarebbero bastati un attimo.
он хочет, чтобы мне хватило одного слова (una parola);Lui vuole che io basti con una parola.
она хочет, чтобы тебе хватило одного слова (una parola);Lei vuole che tu basti con una parola.
я думаю, что ему хватит одного слова (una parola);Io penso che lui basti con una parola.
мы думаем, что ей хватит одного слова (una parola);Noi pensiamo che lei basti con una parola.
ты думаешь, что нам хватит одного слова (una parola);Tu pensi che noi bastiamo con una parola.
я думаю, что вам хватит одного слова (una parola);Io penso che voi bastiate con una parola.
он думает, что им хватит одного слова (una parola);Lui pensa che loro bastino con una parola.
он хотел, чтобы мне хватило одного слова (una parola);Lui voleva che io bastassi con una parola.
она думала, что тебе хватит одного слова (una parola);Lei pensava che tu bastassi con una parola.
я надеялся, что ему хватит одного слова (una parola);Io speravo che lui bastasse con una parola.
мы верили, что ей хватит одного слова (una parola);Noi credevamo che lei bastasse con una parola.
они боялись, что нам не хватит одного слова (una parola);Loro temevano che noi bastassimo con una parola.
он хотел, чтобы вам хватило одного слова (una parola);Lui voleva che voi bastaste con una parola.
я думал, что им хватит одного слова (una parola);Io pensavo che loro bastassero con una parola.
он думает, что мне хватило мгновения (bastare un attimo);Lui pensa che io sia bastato un attimo.
она надеется, что тебе хватит мгновения (bastare un attimo);Lei spera che tu sia bastato un attimo.
я верю, что ему хватило мгновения (bastare un attimo);Io credo che lui sia bastato un attimo.
мы сомневаемся, что ей хватило мгновения (bastare un attimo);Noi dubitiamo che lei sia bastata un attimo.
ты думаешь, что нам хватило мгновения (bastare un attimo);Tu pensi che noi siamo bastati un attimo.
он предполагает, что вам хватило мгновения (bastare un attimo);Lui suppone che voi siate bastati un attimo.
я верю, что им хватило мгновения (bastare un attimo);Io credo che loro siano bastati un attimo.
я понимаю причину (il motivo);Io capisco il motivo.
ты понимаешь причину (il motivo);Tu capisci il motivo.
он понимает причину (il motivo);Lui capisce il motivo.
она понимает причину (il motivo);Lei capisce il motivo.
мы понимаем причину (il motivo);Noi capiamo il motivo.
вы понимаете причину (il motivo);Voi capite il motivo.
они понимают причину (il motivo);Loro capiscono il motivo.
я понимал причину (capire il motivo);Io capivo il motivo.
ты понимал причину (capire il motivo);Tu capivi il motivo.
он понимал причину (capire il motivo);Lui capiva il motivo.
она понимала причину (capire il motivo);Lei capiva il motivo.
мы понимали причину (capire il motivo);Noi capivamo il motivo.
вы понимали причину (capire il motivo);Voi capivate il motivo.
они понимали причину (capire il motivo);Loro capivano il motivo.
я понял (capire) причину (il motivo);Io capii il motivo.
ты понял (capire) причину (il motivo);Tu capisti il motivo.
он понял (capire) причину (il motivo);Lui capì il motivo.
она поняла (capire) причину (il motivo);Lei capì il motivo.
мы поняли (capire) причину (il motivo);Noi capimmo il motivo.
вы поняли (capire) причину (il motivo);Voi capiste il motivo.
они поняли (capire) причину (il motivo);Loro capirono il motivo.
я понял причину (capire il motivo);Io ho capito il motivo.
ты понял причину (capire il motivo);Tu hai capito il motivo.
он понял причину (capire il motivo);Lui ha capito il motivo.
она поняла причину (capire il motivo);Lei ha capito il motivo.
мы поняли причину (capire il motivo);Noi abbiamo capito il motivo.
вы поняли причину (capire il motivo);Voi avete capito il motivo.
они поняли причину (capire il motivo);Loro hanno capito il motivo.
я уже понял причину (capire il motivo);Io avevo capito il motivo.
ты уже понял причину (capire il motivo);Tu avevi capito il motivo.
он уже понял причину (capire il motivo);Lui aveva capito il motivo.
она уже поняла причину (capire il motivo);Lei aveva capito il motivo.
мы уже поняли причину (capire il motivo);Noi avevamo capito il motivo.
вы уже поняли причину (capire il motivo);Voi avevate capito il motivo.
они уже поняли причину (capire il motivo);Loro avevano capito il motivo.
я пойму причину (capire il motivo);Io capirò il motivo.
ты поймешь причину (capire il motivo);Tu capirai il motivo.
он поймет причину (capire il motivo);Lui capirà il motivo.
она поймет причину (capire il motivo);Lei capirà il motivo.
мы поймем причину (capire il motivo);Noi capiremo il motivo.
вы поймете причину (capire il motivo);Voi capirete il motivo.
они поймут причину (capire il motivo);Loro capiranno il motivo.
я уже пойму причину (capire il motivo);Io avrò capito il motivo.
ты уже поймешь причину (capire il motivo);Tu avrai capito il motivo.
он уже поймет причину (capire il motivo);Lui avrà capito il motivo.
она уже поймет причину (capire il motivo);Lei avrà capito il motivo.
мы уже поймем причину (capire il motivo);Noi avremo capito il motivo.
вы уже поймете причину (capire il motivo);Voi avrete capito il motivo.
они уже поймут причину (capire il motivo);Loro avranno capito il motivo.
я бы понял причину (il motivo);Io capirei il motivo.
ты бы понял причину (il motivo);Tu capiresti il motivo.
он бы понял причину (il motivo);Lui capirebbe il motivo.
она бы поняла причину (il motivo);Lei capirebbe il motivo.
мы бы поняли причину (il motivo);Noi capiremmo il motivo.
вы бы поняли причину (il motivo);Voi capireste il motivo.
они бы поняли причину (il motivo);Loro capirebbero il motivo.
я бы понял причину (capire il motivo);Io avrei capito il motivo.
ты бы понял причину (capire il motivo);Tu avresti capito il motivo.
он бы понял причину (capire il motivo);Lui avrebbe capito il motivo.
она бы поняла причину (capire il motivo);Lei avrebbe capito il motivo.
мы бы поняли причину (capire il motivo);Noi avremmo capito il motivo.
вы бы поняли причину (capire il motivo);Voi avreste capito il motivo.
они бы поняли причину (capire il motivo);Loro avrebbero capito il motivo.
он хочет, чтобы я понял причину (capire il motivo);Lui vuole che io capisca il motivo.
она надеется, что ты поймешь причину (capire il motivo);Lei spera che tu capisca il motivo.
я думаю, что он поймет причину (capire il motivo);Io penso che lui capisca il motivo.
мы верим, что она поймет причину (capire il motivo);Noi crediamo che lei capisca il motivo.
они думают, что мы поймем причину (capire il motivo);Loro pensano che noi capiamo il motivo.
я верю, что вы поймете причину (capire il motivo);Io credo che voi capiate il motivo.
он хочет, чтобы они поняли причину (capire il motivo);Lui vuole che loro capiscano il motivo.
она хотела, чтобы я понял причину (capire il motivo);Lei voleva che io capissi il motivo.
он хотел, чтобы ты понял причину (capire il motivo);Lui voleva che tu capissi il motivo.
я думал, что он поймет причину (capire il motivo);Io pensavo che lui capisse il motivo.
мы верили, что она поймет причину (capire il motivo);Noi credevamo che lei capisse il motivo.
они надеялись, что мы поймем причину (capire il motivo);Loro speravano che noi capissimo il motivo.
он верил, что вы поймете причину (capire il motivo);Lui credeva che voi capiste il motivo.
я боялся, что они поймут причину (capire il motivo);Io temevo che loro capissero il motivo.
он думает, что я уже понял причину (capire il motivo);Lui pensa che io abbia capito il motivo.
она надеется, что ты уже понял причину (capire il motivo);Lei spera che tu abbia capito il motivo.
я сомневаюсь, что он уже понял причину (capire il motivo);Io dubito che lui abbia capito il motivo.
мы верим, что она уже поняла причину (capire il motivo);Noi crediamo che lei abbia capito il motivo.
ты думаешь, что мы уже поняли причину (capire il motivo);Tu pensi che noi abbiamo capito il motivo.
я полагаю, что вы уже поняли причину (capire il motivo);Io suppongo che voi abbiate capito il motivo.
он верит, что они уже поняли причину (capire il motivo);Lui crede che loro abbiano capito il motivo.
я подаю обед (servire il pranzo);Io servo il pranzo.
ты подаешь обед (servire il pranzo);Tu servi il pranzo.
он подает обед (servire il pranzo);Lui serve il pranzo.
она подает обед (servire il pranzo);Lei serve il pranzo.
мы подаем обед (servire il pranzo);Noi serviamo il pranzo.
вы подаете обед (servire il pranzo);Voi servite il pranzo.
они подают обед (servire il pranzo);Loro servono il pranzo.
я подавала ужин (servire la cena);Io servivo la cena.
ты подавал ужин (servire la cena);Tu servivi la cena.
он подавал ужин (servire la cena);Lui serviva la cena.
она подавала ужин (servire la cena);Lei serviva la cena.
мы подавали ужин (servire la cena);Noi servivamo la cena.
вы подавали ужин (servire la cena);Voi servivate la cena.
они подавали ужин (servire la cena);Loro servivano la cena.
я подал ужин (servire la cena);Io servii la cena.
ты подал ужин (servire la cena);Tu servisti la cena.
он подал ужин (servire la cena);Lui servì la cena.
она подала ужин (servire la cena);Lei servì la cena.
мы подали ужин (servire la cena);Noi servimmo la cena.
вы подали ужин (servire la cena);Voi serviste la cena.
они подали ужин (servire la cena);Loro servirono la cena.
я подал ужин (servire la cena);Io ho servito la cena.
ты подал ужин (servire la cena);Tu hai servito la cena.
он подал ужин (servire la cena);Lui ha servito la cena.
она подала ужин (servire la cena);Lei ha servito la cena.
мы подали ужин (servire la cena);Noi abbiamo servito la cena.
вы подали ужин (servire la cena);Voi avete servito la cena.
они подали ужин (servire la cena);Loro hanno servito la cena.
я уже подал ужин (aver servito la cena);Io avevo servito la cena.
ты уже подал ужин (aver servito la cena);Tu avevi servito la cena.
он уже подал ужин (aver servito la cena);Lui aveva servito la cena.
она уже подала ужин (aver servito la cena);Lei aveva servito la cena.
мы уже подали ужин (aver servito la cena);Noi avevamo servito la cena.
вы уже подали ужин (aver servito la cena);Voi avevate servito la cena.
они уже подали ужин (aver servito la cena);Loro avevano servito la cena.
я подам блюдо (servire un piatto);Io servirò un piatto.
ты подашь блюдо (servire un piatto);Tu servirai un piatto.
он подаст блюдо (servire un piatto);Lui servirà un piatto.
она подаст блюдо (servire un piatto);Lei servirà un piatto.
мы подадим блюдо (servire un piatto);Noi serviremo un piatto.
вы подадите блюдо (servire un piatto);Voi servirete un piatto.
они подадут блюдо (servire un piatto);Loro serviranno un piatto.
я успею подать обед (aver servito il pranzo);Io avrò servito il pranzo.
ты успеешь подать обед (aver servito il pranzo);Tu avrai servito il pranzo.
он успеет подать обед (aver servito il pranzo);Lui avrà servito il pranzo.
она успеет подать обед (aver servito il pranzo);Lei avrà servito il pranzo.
мы успеем подать обед (aver servito il pranzo);Noi avremo servito il pranzo.
вы успеете подать обед (aver servito il pranzo);Voi avrete servito il pranzo.
они успеют подать обед (aver servito il pranzo);Loro avranno servito il pranzo.
мне бы помогла помощь (un aiuto);Io servirei un aiuto.
тебе бы помогла помощь (un aiuto);Tu serviresti un aiuto.
ему бы помогла помощь (un aiuto);Lui servirebbe un aiuto.
ей бы помогла помощь (un aiuto);Lei servirebbe un aiuto.
нам бы помогла помощь (un aiuto);Noi serviremmo un aiuto.
вам бы помогла помощь (un aiuto);Voi servireste un aiuto.
им бы помогла помощь (un aiuto);Loro servirebbero un aiuto.
я бы подал ужин (aver servito la cena);Io avrei servito la cena.
ты бы подал ужин (aver servito la cena);Tu avresti servito la cena.
он бы подал ужин (aver servito la cena);Lui avrebbe servito la cena.
она бы подала ужин (aver servito la cena);Lei avrebbe servito la cena.
мы бы подали ужин (aver servito la cena);Noi avremmo servito la cena.
вы бы подали ужин (aver servito la cena);Voi avreste servito la cena.
они бы подали ужин (aver servito la cena);Loro avrebbero servito la cena.
она хочет, чтобы я подал блюдо (servire un piatto);Lei vuole che io serva un piatto.
он хочет, чтобы ты подал блюдо (servire un piatto);Lui vuole che tu serva un piatto.
я думаю, что он подаст блюдо (servire un piatto);Io penso che lui serva un piatto.
мы думаем, что она подаст блюдо (servire un piatto);Noi pensiamo che lei serva un piatto.
они хотят, чтобы мы подали блюдо (servire un piatto);Loro vogliono che noi serviamo un piatto.
я надеюсь, что вы подадите блюдо (servire un piatto);Io spero che voi serviate un piatto.
он думает, что они подадут блюдо (servire un piatto);Lui pensa che loro servano un piatto.
она хотела, чтобы я подала ужин (servire la cena);Lei voleva che io servissi la cena.
он хотел, чтобы ты подал ужин (servire la cena);Lui voleva che tu servissi la cena.
я думала, что он подаст ужин (servire la cena);Io pensavo che lui servisse la cena.
мы надеялись, что она подаст ужин (servire la cena);Noi speravamo che lei servisse la cena.
они хотели, чтобы мы подали ужин (servire la cena);Loro volevano che noi servissimo la cena.
я верил, что вы подадите ужин (servire la cena);Io credevo che voi serviste la cena.
он боялся, что они подадут ужин (servire la cena);Lui temeva che loro servissero la cena.
он думает, что я уже подал ужин (aver servito la cena);Lui pensa che io abbia servito la cena.
она надеется, что ты уже подал ужин (aver servito la cena);Lei spera che tu abbia servito la cena.
я сомневаюсь, что он уже подал ужин (aver servito la cena);Io dubito che lui abbia servito la cena.
мы полагаем, что она уже подала ужин (aver servito la cena);Noi supponiamo che lei abbia servito la cena.
ты думаешь, что мы уже подали ужин (aver servito la cena);Tu pensi che noi abbiamo servito la cena.
он верит, что вы уже подали ужин (aver servito la cena);Lui crede che voi abbiate servito la cena.
я полагаю, что они уже подали ужин (aver servito la cena);Io suppongo che loro abbiano servito la cena.
я прощаю ошибку (scusare un errore);Io scuso un errore.
