rank,noun,collocations,ru
5678,rotelle,,колёсики
5691,tienito,,держи
5696,sorprese,,сюрпризы/удивлённые
5699,lasceremo,,мы оставим
5703,riceve,,получает
5706,singola,,одиночная
5710,statua,,статуя
5711,confino,,граница/ссылка
5717,ricevuta,,полученная/квитанция
5719,assassina,,убийца
5722,liquido,,жидкий/жидкость
5723,crederao,,поверит
5724,fotografie,,фотографии
5725,comanda,,команда/приказ
5730,clyde,,Клайд
5732,segua,,пусть следует/следует
5736,burke,,Бёрк
5743,impazzita,,сошедшая с ума
5744,ana,,Ана
5746,pierce,,Пирс
5748,succedesse,,случилось бы
5750,nascondo,,прячу/скрываю
5753,chiedero,,спрошу
5761,sappo,,знаю
5762,duke,,герцог/Дюк
5766,beno,,хорошо
5772,svolta,,поворот/перелом
5776,monroe,,Монро
5781,indizo,,улика/признак
5784,conoscevo,,я знал
5789,sorprendente,,удивительный
5791,scopata,,трах/ёбля
5797,condoglianze,,соболезнования
5798,finisco,,заканчиваю
5801,portafoglo,,бумажник/портфель
5802,saperne,,знать об этом
5803,spie,,шпионы
5809,raro,,редкий
5811,cioccolata,,шоколад
5812,valga,,пусть стоит/стоило бы
5814,valoro,,ценность/стоимость
5816,rumoro,,шум
5817,misure,,меры/размеры
5819,nasconderso,,прятаться
5823,obitorio,,морг
5826,pigiama,,пижама
5832,sedermo,,сесть
5833,sire,,синьор/господин
5835,riuniono,,собрание/встреча
5836,preferito,,любимый/предпочтительный
5843,portarco,,носить/нести
5851,detesto,,ненавижу/презираю
5854,facco,,делаю
5858,parliamone,,поговорим об этом
5861,coperte,,одеяла
5869,irlandese,,ирландец/ирландский
5871,forme,,формы
5872,lavoratoro,,работник
5880,costumo,,костюм/обычай
5884,studentessa,,студентка
5889,grassa,,толстая/жирная
5893,vivente,,живой/живущий
5894,recita,,представление/спектакль
5896,preoccupo,,беспокоюсь
5897,bravissima,,отличнейшая/очень умелая
5900,arco,,арка/лук
5903,denise,,Дениз
5914,false,,ложные/фальшивые
5921,fidarso,,доверяться
5924,divisa,,униформа/форма
5926,porteremo,,мы принесём
5927,discusso,,обсуждённый
5930,compromesso,,компромисс
5931,concordo,,согласен
5935,concorso,,конкурс/содействие
5936,terro,,террор/страх
5937,claudia,,Клаудия
5938,vitale,,жизненный/жизенно важный
5941,degno,,достойный
5954,indiana,,индианка/индианский
5970,rivoglio,,хочу обратно
5971,ovvero,,или/то есть
5972,maestra,,учительница/мастер
5973,capra,,коза
5979,accorta,,сообразительная/заметившая
5997,solitario,,одинокий/уединённый
6000,alquanto,,довольно/весьма
6002,penale,,уголовный/штрафной
6007,proviene,,происходит
6008,favola,,сказка
6016,risparmo,,экономия/сбережение
6017,gemma,,драгоценный камень/бутон
6020,uccida,,убьёт/пусть убьёт
6027,diploma,,диплом
6030,riga,,строка/линейка
6037,divento,,становлюсь
6038,botta,,удар/толчок
6040,adulta,,взрослая
6044,goccia,,капля
6046,vena,,вена
6047,tagliata,,нарезанная/вырезка
6048,alfa,,альфа
6050,foglia,,лист
6052,lampada,,лампа/светильник
6053,fama,,слава/известность
6056,sconfitta,,поражение
6057,durata,,продолжительность/длительность
6058,salvataggio,,спасение
6059,scortese,,невежливый/грубый
6060,lavanderia,,прачечная
6063,dicembre,,декабрь
6064,attacca,,атакует/прикрепляет
6065,competizione,,соревнование
6068,vernice,,лак/краска
6070,freccia,,стрела/указатель
6071,gentilezza,,доброта
6073,spreco,,растрата/отходы
6076,commercio,,торговля
6080,paraggo,,сравнение/параграф
6082,assassinio,,убийство
6088,riabilitazione,,реабилитация
6089,rancore,,обида/злопамятство
6091,flusso,,поток
6092,musicale,,музыкальный
6095,quantità,,количество
6096,scusarto,,извиниться
6097,ottime,,отличные
6101,foglio,,лист/бланк
6110,sederso,,сесть
6111,note,,заметки/ноты
6118,diagnoso,,диагноз
6119,sospettato,,подозреваемый
6127,diamoco,,давайте
6132,parecchie,,довольно много/несколько
6137,satana,,сатана
6142,astronave,,космический корабль
6147,mediche,,медицинские
6148,verdetto,,приговор/вердикт
6149,saggezza,,мудрость
6150,approvazione,,одобрение
6151,ritratto,,портрет
6153,romeo,,Ромео
6155,nuvola,,облако
6160,unite,,объединённые
6162,tosta,,смелая/крутая
6163,candela,,свеча
6165,bistecca,,бифштекс/стейк
6166,fissa,,фиксированная/прикреплённая
6167,oraro,,часы/расписание
6179,letto,,кровать
6180,telefonica,,телефонная
6181,riscontro,,подтверждение/контроль
6185,nausea,,тошнота
6186,cristallo,,кристалл/хрусталь
6188,applauso,,аплодисменты
6191,cicatrice,,шрам/рубец
6193,eterna,,вечная
6194,riferimento,,ссылка/указание
6195,infermeria,,лазарет/медпункт
6196,riconoscimento,,признание/распознавание
6198,molo,,причал/мол
6199,erede,,наследник/наследница
6201,legamo,,связываем
6203,divenne,,стал/сделался
6206,ritengo,,считаю/полагаю
6207,meccanico,,механик/механический
6209,protagonista,,главный герой/протагонист
6215,animo,,душа/дух
6216,pesanto,,тяжёлый
6219,impulso,,импульс/порыв
6223,unirso,,объединиться
6224,maggioro,,большинство
6225,oscurita,,темнота/мрак
6227,costante,,постоянный/непрерывный
6230,ascoltarmo,,послушать меня
6231,perderao,,потеряет
6232,lena,,усердие/energia
6237,commento,,комментарий
6238,sensore,,датчик/сенсор
6241,sconfitto,,побеждённый
6248,volevate,,вы хотели
6250,seguirmo,,следовать за мной
6255,ego,,эго/я
6256,madonna,,мадонна/богородица
6263,priorita,,приоритет
6269,dimissiono,,отставка/выписка
6270,spedizione,,экспедиция/отправка
6272,multa,,штраф
6274,probabilita,,вероятность
6276,solitudine,,одиночество
6277,mento,,подбородок
6289,improbabile,,маловероятный
6290,professione,,профессия
6291,commedia,,комедия
6292,cava,,карьер/выемка
6294,scaccho,,шах
6297,calzino,,носок
6300,scordatelo,,забудь это
6302,detenuto,,заключённый
6307,mamme,,мамы
6312,somiglia,,похож на
6315,aro,,орлан/орёл
6317,quantita,,количество
6319,presentarvo,,представить вам
6322,sconosciuta,,незнакомка/неизвестная
6326,siedo,,сижу
6330,volontario,,волонтёр/доброволец
6333,professoressa,,профессорша/преподавательница
6334,impegnato,,занятой
6338,ginnastica,,гимнастика
6349,ulterioro,,дальнейший
6350,colonna,,колонна/столбец
6351,principalo,,главный/основной
6353,conforto,,утешение/комфорт
6354,preferite,,предпочитаемые/любимые
6355,vicepresidente,,вице-президент
6357,emozionante,,волнительный/захватывающий
6358,caporale,,капрал
6360,distrettuale,,районный/окружной
6364,sgualdrina,,шлюха/потаскуха
6366,supervisore,,супервайзер/контролёр
6368,vergogno,,стыд
6370,ninja,,ниндзя
6374,cerealo,,злаковый/хлопья
6379,fisso,,фиксированный/неподвижный
6382,uniche,,уникальные/единственные
6383,missilo,,ракета/снаряд
6385,gennaio,,январь
6386,capaco,,способный
6390,cambiera,,изменит/поменяет
6401,dimenticato,,забытый
6403,crescita,,рост
6406,curva,,кривая/поворот
6409,nebbia,,туман
6410,maschile,,мужской
6411,sconto,,скидка
6412,metropolitana,,метро
6413,portale,,портал/ворота
6416,etichetta,,этикетка/ярлык
6418,preziosa,,драгоценная
6420,entusiasmo,,энтузиазм/воодушевление
6421,dicesse,,говорил бы
6422,classica,,классическая
6423,e'a,,есть/является
6426,occasiono,,случай/возможность
6428,probabilità,,вероятность
6434,regione,,регион/область
6435,tolga,,пусть уберёт/снимет
6438,iniezione,,инъекция/укол
6447,riviste,,журналы
6450,deposizione,,показание/осаждение
6451,galassia,,галактика
6452,economico,,экономический/экономный
6454,assicurarso,,застраховать
6458,nikko,,Никко
6460,barbecue,,барбекю
6461,archivio,,архив
6462,scolastico,,школьный/учебный
6465,inteso,,понятый/условленный
6475,overdose,,передозировка
6477,sequenza,,последовательность
6478,colonia,,колония
6481,alleanza,,альянс/союз
6482,fenomeno,,феномен/явление
6484,colto,,образованный/воспитанный
6487,ava,,прабабушка
6488,fetta,,ломтик/кусок
6489,obbligo,,обязанность
6491,cuoco,,повар
6493,testo,,текст
6495,panno,,ткань/тряпка
6497,gabinetto,,кабинет/туалет
6498,cresciuto,,выросший
6501,carine,,милые
6502,incontrarto,,встретить
6504,provero,,проверю/докажу
6507,truccho,,трюк/уловка
6510,perdonatemo,,простите меня
6514,pianoforte,,фортепиано
6515,orbita,,орбита
6516,smette,,перестаёт
6518,spirituale,,духовный
6520,preavviso,,предупреждение
6523,adolescento,,подросток
6524,formula,,формула
6529,costruzione,,строительство/конструкция
6533,casco,,каска/шлем
6534,edifico,,здание
6535,pirata,,пират
6536,richie,,Ричи
6537,scudo,,щит
6538,usato,,использованный/бывший
6540,freddie,,Фредди
6541,ordino,,заказ/приказываю
6547,pianeto,,планета
6548,tata,,няня
6555,riva,,берег
6558,assalto,,штурм/нападение
6561,finiscila,,кончай/хватит
6562,butto,,бросаю
6565,private,,частные
6567,teso,,натянутый/напряжённый
6568,orrore,,ужас
6570,urlo,,крик/вой
6573,vulnerabile,,уязвимый
6576,addormentata,,заснувшая
6577,incapace,,неспособный
6578,cecchino,,снайпер
6580,affidabile,,надёжный
6582,chiederglo,,спросить его
6583,scarico,,слив/разгрузка
6587,barone,,барон
6588,occorre,,необходимо/требуется
6589,seguita,,следовавшая/сопровождаемая
6590,mercoledì,,среда
6591,pallone,,мяч/баллон
6593,reggiseno,,лифчик/бюстгальтер
6594,perdite,,потери/утечки
6596,calcolo,,расчёт/вычисление
6600,preoccupaziono,,беспокойство
6604,asso,,туз/ас
6606,omaggio,,подарок/дань
6607,piacesse,,нравилось бы
6608,lotteria,,лотерея
6609,bottone,,кнопка/пуговица
6612,sottile,,тонкий
6618,liscia,,гладкая
6620,oscura,,тёмная/мрачная
6621,kira,,Кира
6626,dramma,,драма
6627,serratura,,замок
6628,dannato,,проклятый
6631,zampe,,лапы
6632,latino,,латинский/латиноамериканец
6637,umanita,,человечество
6638,bancone,,прилавок/барная стойка
6642,infinite,,бесконечные
6645,verbale,,устный/протокол
6646,innocenza,,невинность
6647,inferiore,,нижний/низший
6649,rilascio,,выпуск/освобождение
6658,ritirata,,отступление
6661,supplico,,умоляю
6662,sordo,,глухой
6665,destinazione,,место назначения
6670,paparino,,папочка
6675,postale,,почтовый
6676,poterla,,мочь её/быть в состоянии
6677,prostitute,,проститутки
6678,maniaco,,маньяк
6684,dammela,,дай мне её
6685,gestisce,,управляет
6687,soffitto,,потолок
6688,statale,,государственный
6696,banana,,банан
6701,esatta,,точная
6702,mattinata,,утро/утреннее время
6703,cittadina,,гражданка/городок
6704,riscatto,,выкуп/искупление
6711,soffiata,,донос/наводка
6717,ritiene,,считает/полагает
6719,menzogna,,ложь
6722,fotografo,,фотограф
6723,fulmine,,молния
6730,calmatevo,,успокойтесь
6731,mandarmo,,послать мне
6733,marijuana,,марихуана
6735,manicomio,,психбольница
6736,pompiere,,пожарный
6737,unirto,,объединиться
6739,aggiunto,,добавленный
6742,illusione,,иллюзия
6746,scorre,,течёт/протекает
6752,iniziate,,начатые
6756,demonio,,демон
6762,bestie,,звери
6764,fucilo,,ружьё/винтовка
6765,frattura,,перелом/трещина
6769,ricevo,,получаю
6774,esista,,существует
6775,estraneo,,чужак/посторонний
6777,etero,,гетеро
6780,roulotte,,автоприцеп/караван
6782,ammiro,,восхищаюсь
6784,riscaldamento,,отопление/нагрев
6785,meritava,,заслуживал
6788,sosta,,остановка/стоянка
6789,cannone,,пушка
6791,allucinaziono,,галлюцинация
6796,personalità,,личность
6797,dipendenza,,зависимость
6800,inevitabile,,неизбежный
6803,efficace,,эффективный
6804,cacciatoro,,охотник
6810,campana,,колокол
6813,sciopero,,забастовка
6819,ingiusto,,несправедливый
6821,secca,,сухая
6822,rivedremo,,мы пересмотрим
6825,operao,,работник/оператор
6827,attaccata,,прикреплённая
6831,agenda,,ежедневник/повестка
6833,registraziono,,регистрация
6834,proprietaro,,владелец/собственник
6835,kara,,Кара
6843,generaziono,,поколение
6848,rocce,,скалы
6852,provino,,проба/кастинг
6853,femminuccia,,девчонка/тряпка
6854,alternative,,альтернативы
6855,prenderle,,взять их
6858,precisione,,точность
6869,corde,,верёвки/струны
6870,estratto,,экстракт/выдержка
6874,ossessione,,одержимость
6877,usava,,использовал(а)
6878,sirena,,сирена/русалка
6883,concentrarmo,,сосредоточиться
6892,imparo,,учусь
6896,comprensione,,понимание
6900,mobile,,мобильный/мебель
6901,dimostrazione,,демонстрация
6902,colpevolo,,виновный
6903,tasso,,ставка/уровень
6908,pirato,,пират
6910,ribelle,,мятежник/бунтарь
6912,palo,,столб/шест
6913,tattica,,тактика
6923,convincente,,убедительный
6925,ape,,пчела
6926,marinaio,,моряк
6927,gomme,,шины/резинки
6928,cavaliero,,рыцарь/всадник
6929,esperta,,эксперт/опытная
6931,intimo,,интимный/бельё
6932,fata,,фея
6933,cifre,,цифры
6936,fantastiche,,фантастические
6937,morisse,,умер бы
6938,sacchetto,,пакет/мешочек
6941,garanzia,,гарантия
6942,proposto,,предложенный
6943,mona,,дура/киска
6944,approccio,,подход
6945,ragno,,паук
6946,combatto,,сражаюсь
6949,spiegarmo,,объяснить мне
6950,direttrice,,директриса/направляющая
6951,spiegaziono,,объяснение
6952,attenziono,,внимание
6954,papo,,папа
6956,fotografica,,фотоаппарат
6959,salone,,салон/зал
6962,omicida,,убийца
6963,massacro,,резня/бойня
6964,ballerina,,балерина
6967,seme,,семя/семечко
6968,june,,Джун
6971,gestione,,управление
6973,torcia,,факел/фонарь
6975,marea,,прилив
6976,legittima,,законная
6980,costole,,рёбра
6981,disgrazia,,беда/несчастье
6984,finiremo,,мы закончим
6989,fungho,,гриб
6997,antenato,,предок
7001,carità,,милосердие/благотворительность
7002,leggerlo,,прочитать его
7005,interessato,,заинтересованный
7007,greco,,грек/греческий
7008,arrivarco,,добраться
7012,heo,,герой
7014,elefante,,слон
7015,perderemo,,мы потеряем
7016,scheda,,карточка/форма
7017,sparito,,исчезнувший
7018,audizione,,прослушивание
7019,legate,,связанные
7024,mostramo,,показываем
7030,epidemia,,эпидемия
7032,rospo,,жаба
7037,comportato,,поведённый
7040,pompa,,насос/помпа
7044,ombre,,тени
7046,vene,,вены
7049,intelligence,,разведка/интеллект
7051,discuterne,,обсудить это
7053,disordine,,беспорядок
7054,priorità,,приоритет
7056,instabile,,нестабильный
7058,aiutero,,помогу
7060,dispiaciuta,,огорчённая
7065,limousine,,лимузин
7066,appeso,,подвешенный
7071,sospetta,,подозревает/подозрительная
7072,piccoletto,,маленький/малыш
7073,carbone,,уголь
7074,pugnale,,кинжал
7076,sapone,,мыло
7078,cattura,,захват/поимка
7081,posa,,поза/укладка
7082,compagnie,,компании
7084,settimo,,седьмой
7093,italiano,,итальянец/итальянский
7099,occidentale,,западный
7100,valeva,,стоил/имел значение
7103,terremo,,держим
7104,rivederla,,увидеть её снова
7106,candidato,,кандидат
7110,creazione,,создание/творение
7111,sceneggiatura,,сценарий
7112,sedie,,стулья
7114,nazisto,,нацист
7116,esplosivo,,взрывчатый/взрывчатка
7124,delusione,,разочарование
7125,mettiamoco,,положим/поставим
7126,scossa,,тряска/удар
7128,disperazione,,отчаяние
7129,distante,,далёкий
7131,digitalo,,цифровой
7132,raffreddore,,простуда
7133,permanente,,постоянный
7134,schianto,,крах/столкновение
7138,naturalo,,натуральный/естественный
7139,barche,,лодки
7141,categoria,,категория
7143,filosofia,,философия
7148,visiono,,зрение/видение
7151,sopportarlo,,терпеть это
7155,piove,,идёт дождь
7156,firmo,,подписываю
7157,taccho,,пятка/каблук
7160,dominio,,господство/домен
7161,accadesse,,случилось бы
7162,invasione,,вторжение
7165,dirla,,сказать это
7170,democrazia,,демократия
7171,trapianto,,трансплантация
7173,guardala,,посмотри на неё
7175,scommesse,,ставки/пари
7176,volpe,,лиса
7179,peste,,чума/зараза
7181,seguente,,следующий
7182,inchiesta,,расследование
7184,soprannome,,прозвище
7185,recento,,недавний
7186,geno,,Генуя
7187,sobrio,,трезвый
7195,cemento,,цемент
7197,frode,,мошенничество/обман
7198,attaccato,,прикреплённый
7200,inganno,,обман
7201,finanziario,,финансовый
7208,globale,,глобальный
7211,radico,,радикальный
7212,rara,,редкая
7214,fusione,,слияние/плавка
7215,vigilata,,охраняемая
7216,generatore,,генератор
7217,daphne,,Дафна
7219,alpha,,альфа
7222,liscio,,гладкий
7224,milo,,Майло
7226,delta,,дельта
7231,acquisto,,покупка/приобретение
7232,aerea,,авиационная/воздушная
7233,dichiaraziono,,заявление/декларация
7234,economica,,экономическая
7235,minoro,,меньший/минорный
7237,scappato,,сбежавший
7239,tirate,,вытянутые
7240,ciambelle,,пончики
7243,prosciutto,,ветчина/прошутто
7244,edizione,,издание/выпуск
7247,iniziativa,,инициатива
7249,porterao,,принесёт
7250,useremo,,мы используем
7255,contessa,,графиня
7258,irene,,Ирэн
7260,mancia,,чаевые
7261,assoluta,,абсолютная
7262,febbraio,,февраль
7264,nascondiglio,,укрытие/притон
7269,limone,,лимон
7270,barriera,,барьер/преграда
7271,finestrino,,окошко
7272,collegato,,связанный/подключённый
7273,perderto,,потерять тебя
7274,impedisce,,препятствует
7275,piloto,,пилот
7276,presentimento,,предчувствие
7277,gratitudine,,благодарность
7278,suprema,,верховная
7279,apparecchio,,прибор/аппарат
7280,avvicinarso,,приблизиться
7282,panchina,,скамейка
7288,contadino,,крестьянин/фермер
7289,incontreremo,,мы встретимся
7290,fondazione,,основание/фундамент
7291,sbarre,,решётки/брусья
7292,missile,,ракета/снаряд
7294,mito,,миф
7295,suggerisce,,предлагает/подсказывает
7298,adozione,,усыновление
7299,usciva,,выходил(а)
7301,spade,,мечи
7302,filmato,,видеозапись/фильм
7304,seta,,шёлк
7305,ditta,,фирма/компания
7308,abitudino,,привычка
7309,riporto,,возвращаю/переношу
7311,tatuaggo,,татуировка
7315,credetemo,,поверьте нам
7316,accomodatevo,,размещайтесь
7318,stradale,,дорожный
7319,chelsea,,Челси
7325,parlarvo,,поговорить с вами
7326,allerta,,тревога/бдительность
7329,israele,,Израиль
7336,cenero,,пепел
7337,sostanze,,вещества
7339,pollice,,большой палец/дюйм
7340,ostacolo,,препятствие
7344,deriva,,снос/происхождение
7348,malinteso,,недоразумение
7349,chiederglielo,,спросить его/её
7351,veste,,одежда/обличие
7352,poeta,,поэт
7354,polo,,полюс/поло
7355,porteranno,,они принесут
7356,mutandine,,трусики
7359,incantevole,,очаровательный
7361,imboscata,,засада
7364,faccende,,дела/занятия
7369,casse,,ящики/кассы
7370,ammazza,,убивает
7372,squillo,,звонок
7373,piccante,,острый/пикантный
7381,alloggio,,жильё/помещение
7382,vitalo,,жизненно важный
7383,poltrona,,кресло
7385,ritrovo,,встреча/место встречи
7387,caduto,,упавший/павший
7389,saltata,,пропущенная/прыгнувшая
7390,sufficienza,,достаточность
7392,sposta,,перемещает
7395,grandezza,,величие/размер
7400,definizione,,определение
7402,sudore,,пот
7407,pancake,,блинчики
7408,gelosia,,ревность
7409,gallina,,курица
7410,aquila,,орёл
7411,bestiame,,скот
7412,riservata,,зарезервированная
7413,lite,,ссора/драка
7416,ometto,,малыш/человечек
7417,svizzera,,Швейцария
7419,muso,,морда/лицо
7421,teorie,,теории
7424,benone,,прекрасно/отлично
7425,esclusiva,,эксклюзив
7427,infantile,,детский
7428,pacifico,,тихий/мирный
7433,enterprise,,предприятие
7434,giubbotto,,куртка
7436,frocio,,педик/гей
7439,residenza,,резиденция/жильё
7440,pesa,,весит
7441,rossetto,,помада
7442,poesie,,стихи
7443,aspettative,,ожидания
7446,pecora,,овца
7449,eletto,,избранный
7450,fuma,,курит
7451,frena,,тормозит
7456,cervo,,олень
7457,rimarra,,останется
7461,toccata,,токката/тронутая
7462,fica,,киска
7465,pensero,,думаю
7466,maglione,,свитер
7468,stima,,оценка/уважение
7472,rivisto,,пересмотренный
7473,sentimentale,,сентиментальный
7474,tana,,берлога/логово
7478,francho,,француз
7479,sputa,,плюёт
7481,punteggio,,счёт/очки
7484,vigilia,,канун
7485,disponibilo,,доступный
7486,sasso,,камень/булыжник
7488,sottomarino,,подводная лодка
7492,vescovo,,епископ
7497,sacrifico,,жертвую
7501,bruciata,,сожжённая/обожжённая
7502,libretto,,блокнот/брошюра
7503,litro,,литр
7504,alzata,,подставка/вставшая
7505,farmacia,,аптека
7510,politiche,,политические/политики
7514,portarlo,,нести его
7517,piega,,складка/изгиб
7518,discrezione,,благоразумие/дискреция
7519,propongo,,предлагаю
7522,macchie,,пятна
7524,nasconderto,,прятать тебя
7526,gemella,,близнец/близняшка
7527,condiviso,,разделённый/совместный
7528,dozzine,,дюжины
7529,amarto,,любить тебя
7531,scrittura,,письмо/почерк
7532,nadia,,Надя
7533,orchestra,,оркестр
7537,tonnellate,,тонны
7538,mino,,мино/меньший
7543,tirarto,,тянуть тебя
7544,senno,,разум/здравый смысл
7546,rilassarto,,расслабиться
7549,dispiaccia,,огорчает
7551,notiziario,,новости/выпуск
7559,esposizione,,выставка/воздействие
7560,tecniche,,техники
7567,depresso,,подавленный/депрессивный
7569,decise,,решил(а)
7571,composto,,составной/спокойный
7577,guarigione,,исцеление
7581,precisa,,точная
7582,buttata,,брошенная
7584,ascia,,топор
7586,aiutarlo,,помочь ему
7587,vigliacco,,трус
7590,olive,,оливки
7591,avvicino,,приближаюсь
7592,cestino,,корзина/мусорка
7593,distratto,,отвлечённый
7595,intenso,,интенсивный
7596,circolazione,,обращение/циркуляция
7599,calendario,,календарь
7601,differento,,разный/другой
7603,valsa,,стоила
7604,soddisfazione,,удовлетворение
7605,claude,,Клод
7606,caverna,,пещера
7609,paranoico,,параноик
7612,sorso,,глоток
7614,frontiera,,граница/фронт
7615,jedo,,Джед
7616,defunto,,покойный/умерший
7617,profitto,,прибыль
7619,perdonarmo,,простить меня
7621,confraternita,,братство
7622,portatemo,,несите
7623,semestre,,семестр
7626,elettorale,,избирательный
7627,iono,,ион
7629,razzo,,ракета
7631,sfigato,,неудачник/лох
7632,psicologo,,психолог
7633,jessie,,Джесси
7634,volontaro,,волонтёр
7636,scadenza,,срок годности
7639,oriente,,Восток
7644,estremo,,крайний
7646,ricchezza,,богатство
7648,spiacevole,,неприятный
7653,tenero,,нежный
7654,sophia,,София
7655,avvicinarto,,приблизиться к тебе
7657,terrestre,,земной/наземный
7659,aziende,,фирмы/предприятия
7660,balle,,враньё/чушь
7661,mortalo,,смертельный
7662,permetterso,,позволить себе
7663,digitale,,цифровой
7666,cavata,,вытащенная
7671,macellaio,,мясник
7673,batterie,,батарейки
7675,conoscesso,,знакомый
7677,capanno,,сарай/навес
7679,donatore,,донор
7680,biologico,,биологический
7681,cospirazione,,заговор
7685,barattolo,,банка
7687,pallida,,бледная
7693,negativa,,отрицательная
7697,futura,,будущая
7702,sopravvissuta,,выжившая
7704,manica,,рукав
7706,mentirmo,,солгать мне
7707,vicine,,соседние/близкие
7708,critica,,критика
7710,nucleo,,ядро/центр
7712,aumenta,,увеличивает
7716,freno,,тормоз
7717,lingue,,языки
7720,storico,,исторический
7725,illegalo,,незаконный
7727,morfina,,морфин
7729,crociera,,круиз
7730,arabo,,араб/арабский
7731,immondizia,,мусор
7732,corrispondenza,,переписка/соответствие
7733,benedetto,,благословенный
7736,divina,,божественная
7738,ristoranto,,ресторан
7741,falco,,сокол
7743,legna,,дрова
7746,usciremo,,мы выйдем
7750,basa,,основывает
7751,toglimo,,убери/сними
7752,feccia,,накипь/отбросы
7755,braccialetto,,браслет
7758,privato,,частный
7760,esposto,,выставленный/подверженный
7765,aggredita,,атакованная
7768,nude,,голые
7769,privilegio,,привилегия
7771,ironia,,ирония
7773,manzo,,говядина/бык
7775,hugo,,Хьюго
7776,ricevimento,,приём
7777,gemelle,,близнецы/близняшки
7778,cocco,,любимчик
7781,abuso,,злоупотребление
7783,straordinaro,,экстраординарный
7784,ferie,,отпуск
7785,posiziono,,позиция/положение
7789,protesta,,протест
7790,cagnolino,,собачонка/щенок
7795,tradizionale,,традиционный
7796,tradita,,преданная
7797,secchio,,ведро
7799,finirla,,покончить с этим
7801,toglietevo,,снимайте
7802,frammento,,фрагмент/обломок
7805,forbico,,ножницы
7806,batto,,бью/стучу
7807,vaccino,,вакцина
7808,individuo,,индивид/лицо
7809,segrete,,секреты/тайные
7814,pope,,папа римский
7815,fammelo,,дай мне это сделать
7817,palude,,болото
7819,zucca,,тыква/голова
7820,carrello,,тележка/корзина
7822,esibizione,,выставка/выступление
7825,ezra,,Эзра
7829,creatore,,создатель/творец
7830,ringraziarmo,,поблагодарить меня
7833,lava,,лава/моет
7834,estrema,,крайняя
7835,armate,,армии/вооружённые
7836,life,,жизнь
7838,interruzione,,перерыв/прерывание
7840,conclusiono,,заключение/вывод
7842,arancia,,апельсин
7843,coppa,,кубок/чаша
7844,giornate,,дни
7846,disciplina,,дисциплина
7847,schifosa,,мерзкая/отвратительная
7853,particelle,,частицы
7855,terrorismo,,терроризм
7856,marca,,марка/бренд
7858,tedesca,,немецкая
7860,terrificante,,ужасающий
7868,nuclearo,,ядерный
7870,quarantena,,карантин
7873,mina,,мина
7876,condizionata,,обусловленная
7877,terapista,,терапевт
7878,visitatoro,,посетитель
7883,onnipotente,,всемогущий
7884,federazione,,федерация
7886,favoro,,одолжение/услуга
7888,attende,,ждёт
7889,merlino,,Мерлин
7891,concentrazione,,концентрация
7893,insopportabile,,невыносимый
7894,essenziale,,существенный
7895,incrocio,,перекрёсток
7900,menta,,мята
7905,caserma,,казарма
7909,attrazione,,притяжение/аттракцион
7913,tessera,,карточка/талон
7919,terrorizzata,,терроризированная
7922,cosciente,,сознающий
7925,portarle,,нести ей
7926,marciapiede,,тротуар
7928,facciate,,фасады
7929,rientra,,возвращается
7933,steso,,расстеленный/вытянутый
7937,furia,,ярость/фурия
7938,ferrovia,,железная дорога
7939,afferma,,утверждает
7940,chiuda,,закрывает/пусть закроет
7943,domicilio,,местожительство
7945,tartaruga,,черепаха
7946,rovinata,,разрушенная
7952,apocalisse,,апокалипсис
7955,saccho,,мешок
7958,schemo,,схема
7959,risonanza,,резонанс
7961,provviste,,припасы
7968,uva,,виноград
7969,curiosità,,любопытство
7970,lotto,,лотерея/участок
7971,parata,,парад
7973,vincente,,победитель/выигрышный
7974,svenuta,,упавшая в обморок
7977,price,,цена/Прайс
7978,materialo,,материал
7979,immigrazione,,иммиграция
7980,pubbliche,,публичные/общественные
7983,letteratura,,литература
7987,archivo,,архив
7988,eternità,,вечность
7989,addetto,,специалист/ответственный
7991,vantaggo,,преимущество
7993,gialla,,жёлтая
7999,medicinalo,,лекарство
8001,fazzoletto,,носовой платок
8004,maresciallo,,маршал
8009,verdure,,овощи
8010,chiedermelo,,спросить меня об этом
8013,fritto,,жареный
8016,mentalo,,умственный
8018,personalita,,личность
8019,scopra,,обнаруживает/пусть откроет
8024,perquisizione,,обыск
8025,marito,,муж
8032,cera,,воск
8033,delinquente,,преступник
8034,divino,,божественный
8035,piattaforma,,платформа
8037,pagherao,,заплатит
8038,conversaziono,,разговор/беседа
8042,stronzetto,,сучонок/мелкий ублюдок
8044,signorine,,синьорины/барышни
8049,graffio,,царапина
8050,isole,,острова
8052,missiono,,миссия
8053,donazione,,пожертвование
8054,griglia,,решётка/гриль
8058,strappo,,рывок/разрыв
8060,christina,,Кристина
8061,pressiono,,давление
8064,percentuale,,процент
8065,succederebbe,,случилось бы
8067,suggerimento,,предложение/подсказка
8073,fienile,,сарай/амбар
8077,facciamola,,сделаем это
8080,litigio,,ссора/скандал
8084,preparazione,,приготовление/подготовка
8085,brasile,,Бразилия
8089,averglo,,иметь его
8090,americane,,американки/американские
8091,sufficiento,,достаточный
8095,editore,,издатель
8097,drogata,,наркоманка/под наркозом
8099,musicista,,музыкант
8101,lasciarlo,,оставить его
8102,crollo,,обвал/крах
8104,granche,,ошибка/ляп
8105,prendertela,,принимать близко к сердцу
